ProteinAccessions	ProteinDescriptions	MolecularWeight	NrOfModifiedSequencesIdentifiedExperimentwide	is_SEC_Candidate	NrOfModifiedSequencesIdentified_SEC_fraction_47	NrOfModifiedSequencesIdentified_SEC_fraction_53	NrOfModifiedSequencesIdentified_SEC_fraction_54	NrOfModifiedSequencesIdentified_SEC_fraction_55	NrOfModifiedSequencesIdentified_SEC_fraction_56	NrOfModifiedSequencesIdentified_SEC_fraction_57	NrOfModifiedSequencesIdentified_SEC_fraction_58	NrOfModifiedSequencesIdentified_SEC_fraction_59	NrOfModifiedSequencesIdentified_SEC_fraction_60	NrOfModifiedSequencesIdentified_SEC_fraction_61	NrOfModifiedSequencesIdentified_SEC_fraction_62	NrOfModifiedSequencesIdentified_SEC_fraction_63	NrOfModifiedSequencesIdentified_SEC_fraction_64	NrOfModifiedSequencesIdentified_SEC_fraction_65	IBAQ_SEC_fraction_47	IBAQ_SEC_fraction_53	IBAQ_SEC_fraction_54	IBAQ_SEC_fraction_55	IBAQ_SEC_fraction_56	IBAQ_SEC_fraction_57	IBAQ_SEC_fraction_58	IBAQ_SEC_fraction_59	IBAQ_SEC_fraction_60	IBAQ_SEC_fraction_61	IBAQ_SEC_fraction_62	IBAQ_SEC_fraction_63	IBAQ_SEC_fraction_64	IBAQ_SEC_fraction_65	IBAQ_norm_SEC_fraction_47	IBAQ_norm_SEC_fraction_53	IBAQ_norm_SEC_fraction_54	IBAQ_norm_SEC_fraction_55	IBAQ_norm_SEC_fraction_56	IBAQ_norm_SEC_fraction_57	IBAQ_norm_SEC_fraction_58	IBAQ_norm_SEC_fraction_59	IBAQ_norm_SEC_fraction_60	IBAQ_norm_SEC_fraction_61	IBAQ_norm_SEC_fraction_62	IBAQ_norm_SEC_fraction_63	IBAQ_norm_SEC_fraction_64	IBAQ_norm_SEC_fraction_65	distribution	signal_peptide 
P41199	Large ribosomal subunit protein uL1	23129.69	23	TRUE	4	22	23	23	23	22	13	13	10	3	0	0	0	0	90.6	14260.5	18593.4	20591.6	13822.1	6558.7	2388	1071.2	2930.1	132	0	0	0	0	0.004399852	0.692539676	0.90296043	1	0.671249442	0.318513374	0.115969619	0.052021213	0.142295888	0.006410381	0	0	0	0		
D4GXG0	Uncharacterized protein	18809.1	15	TRUE	0	6	11	15	15	15	12	8	3	4	1	0	0	0	0	1014.6	4098.6	10568.1	13721.9	10608.5	6435.1	4292.6	1370.1	844.9	29.8	0	0	0	0	0.073940198	0.298690415	0.770163024	1	0.773107223	0.468965668	0.312828398	0.099847689	0.061573106	0.002171711	0	0	0		
D4GY31	phosphoserine phosphatase	23207.98	22	TRUE	0	22	22	22	21	17	15	10	1	0	0	0	0	0	0	14408.5	18166.7	18869	13301	4570.7	2030.5	706.2	6.3	0	0	0	0	0	0	0.763606974	0.962780222	1	0.70491282	0.242233293	0.107610366	0.037426467	0.000333881	0	0	0	0	0		
D4GZV8	Branched-chain-amino-acid aminotransferase	35016.65	26	TRUE	15	26	26	26	26	23	18	17	13	7	6	4	0	0	1657.8	8935	13640.5	15967.4	13143.4	6714.6	3332.3	2369.3	919.6	802.9	445.6	164.3	0	0	0.103824041	0.559577639	0.854271829	1	0.823139647	0.420519308	0.208693964	0.148383582	0.057592344	0.050283703	0.02790686	0.010289715	0	0		
D4GYE4	PTS system fructose-specific EIIA component	16452.63	12	TRUE	0	6	12	12	12	12	12	12	7	5	3	1	0	0	0	540	1977.8	6804.6	12631.2	13455.8	11387.2	7111.6	3126.6	2226.3	426.6	84.1	0	0	0	0.040131393	0.146984943	0.505700144	0.938717876	1	0.846267037	0.528515584	0.232360766	0.165452816	0.031703801	0.006250093	0	0		
D4GQS7	TrmB family transcription regulator	19530.69	4	TRUE	0	4	4	4	4	4	4	4	4	3	1	0	0	0	0	1332.8	5869.6	11094	12540.6	9893.8	5680	3717.7	1556.3	559.7	51.1	0	0	0	0	0.106278806	0.468047781	0.884646668	1	0.788941518	0.452928887	0.29645312	0.12410092	0.044631038	0.004074765	0	0	0		
D4GXA4	Uncharacterized protein	14282.85	5	TRUE	0	5	5	5	5	5	5	3	4	1	1	1	0	1	0	5762.5	8756.2	12480.5	12493	7095.5	4923.2	1883.3	1421.7	912.5	476.2	388.7	0	753.2	0	0.461258305	0.700888498	0.99899944	1	0.567958057	0.394076683	0.150748419	0.113799728	0.073040903	0.038117346	0.031113424	0	0.060289762		
D4GRC8	"Ribonuclease H, type 1"	22467.76	8	TRUE	0	7	7	7	7	8	8	6	2	1	0	0	0	0	0	7224.4	9144.4	12077.8	12453.2	7208.1	4170.9	1515.5	171.3	41.9	0	0	0	0	0	0.580123984	0.734301224	0.969855138	1	0.578815084	0.334925963	0.121695628	0.013755501	0.003364597	0	0	0	0		
D4GUA2	HTH domain protein	22336.68	15	TRUE	2	15	15	15	15	15	13	13	10	10	9	7	6	3	53.9	8258.9	10725.9	12977.4	12354.9	6285.2	4477.7	5002.2	3251.7	2959.1	3079.6	1924.3	2015.5	2371.4	0.004153374	0.636406368	0.82650608	1	0.952031994	0.484318893	0.345038297	0.385454714	0.250566369	0.22801948	0.237304853	0.148280857	0.155308459	0.182733059		
D4GYM9	Thioesterase domain protein	18351.47	11	TRUE	0	8	9	10	10	9	9	8	4	4	0	0	0	0	0	2004.7	4309.3	8476.3	12224.8	7301.4	4920.2	4424.6	2071.9	1790.9	0	0	0	0	0	0.163986323	0.352504744	0.693369217	1	0.597261305	0.402476932	0.361936392	0.169483345	0.146497284	0	0	0	0		
D4GYC3	Ferredoxin (2Fe-2S)	11526.82	7	TRUE	0	3	5	7	7	7	7	6	5	4	2	2	2	1	0	1651.6	4467	8007.3	12154.5	12138.1	9001.1	11657.3	6526.8	5617.3	2566.3	1400.6	523.1	313.3	0	0.135883829	0.367518203	0.65879304	1	0.998650706	0.740556995	0.95909334	0.536986301	0.462158048	0.211139907	0.115233041	0.043037558	0.025776461		
D4GQJ0	TetR family transcription regulator	21636.06	19	TRUE	3	11	15	18	19	18	18	18	17	16	14	12	7	3	18.9	724.2	2147.5	6223.1	12130.2	10240.2	10066.7	10296.4	6618.8	6774	3909.1	2894.8	1122	260.5	0.001558095	0.059702231	0.177037477	0.513025342	1	0.844190533	0.829887389	0.848823597	0.545646403	0.558440916	0.322261793	0.238644045	0.092496414	0.021475326		
D4GU31	Uncharacterized protein	13386.95	8	TRUE	5	7	8	8	8	8	8	7	7	7	5	1	1	0	660.1	3394.1	5197.5	9252.8	11676	7573.8	5819	5766.3	3436.5	3713.9	1248	161	63	0	0.056534772	0.290690305	0.445143885	0.792463172	1	0.648663926	0.49837273	0.493859198	0.294321686	0.318079822	0.10688592	0.013788969	0.005395683	0		
D4GZJ8	L-threonylcarbamoyladenylate synthase	21233.46	21	TRUE	0	15	20	20	20	21	18	13	10	3	0	0	0	0	0	1304.9	5018.2	10567.7	11542.4	7695.6	4933.6	2889.4	615.7	94.6	0	0	0	0	0	0.113052745	0.434762268	0.915554824	1	0.666724425	0.42743277	0.250329221	0.053342459	0.008195869	0	0	0	0		
D4GYJ3	Uncharacterized protein	16960.44	4	TRUE	0	1	2	4	3	4	3	2	3	1	1	0	0	0	0	635.5	2454.6	8327.3	11305.6	11176.8	7536.5	4216.7	2221.6	702.7	144.6	0	0	0	0	0.056211081	0.217113643	0.736564181	1	0.988607416	0.666616544	0.372974455	0.196504387	0.062155038	0.012790122	0	0	0		
D4GRV0	Riboflavin synthase	22144.68	11	TRUE	5	11	11	11	11	11	9	8	5	4	1	0	0	0	493.6	5050.6	8677.7	12024.7	11160.7	5174	2167	1592	465.5	276.9	130.9	0	0	0	0.041048841	0.420018795	0.721656258	1	0.928147896	0.430281005	0.180212396	0.132394155	0.038711984	0.023027602	0.010885926	0	0	0		
D4GTT9	Archaeal Lon protease	75481.69	6	TRUE	0	6	6	6	6	6	6	6	6	4	4	2	1	0	0	1046.9	1911.6	6548.3	11148.7	11783.1	9118.2	5899.4	2510.4	1849.8	826.6	486.5	85	0	0	0.088847587	0.16223235	0.555736606	0.946160179	1	0.773837106	0.500666208	0.213050895	0.15698755	0.070151318	0.041287946	0.007213721	0		
D4GXV3	Uncharacterized protein	18888.96	14	TRUE	0	14	14	14	14	13	10	8	5	2	0	0	0	0	0	7732.7	9616.1	13997.3	11148.6	5192.3	2227.5	1122.7	224.1	69.3	0	0	0	0	0	0.552442257	0.686996778	1	0.796482179	0.370950112	0.159137834	0.080208326	0.016010231	0.004950955	0	0	0	0		
D4H016	PUA domain protein	16704.51	3	TRUE	0	2	3	3	3	3	3	3	3	2	3	0	0	0	0	422.4	1452.1	5485	11118.1	12165.4	11968.5	8108.5	3897.4	2731.5	950.6	0	0	0	0	0.034721423	0.119363112	0.450868858	0.913911585	1	0.983814753	0.666521446	0.3203676	0.224530225	0.078139642	0	0	0		
D4GVW6	HGPRTase-like protein 2	19481.91	5	TRUE	0	4	5	5	5	5	5	5	5	5	4	4	3	3	0	461.6	1609.9	5083.6	11004.6	8249.3	7359.4	8321.6	4734.1	4188.3	2014.1	1252.1	498.9	522.2	0	0.041946095	0.146293368	0.461952275	1	0.749622885	0.668756702	0.756192865	0.430192828	0.380595387	0.183023463	0.113779692	0.045335587	0.047452883		
D4GYZ7	Alpha/beta hydrolase fold protein	29454.02	17	TRUE	0	16	17	17	17	16	14	14	7	3	1	1	0	0	0	2702.6	6104.5	9936.9	10787.4	5498.5	3217.5	1990	537.3	146.3	34.7	8.6	0	0	0	0.250533029	0.565891688	0.921158018	1	0.509715038	0.298264642	0.184474479	0.049808109	0.013562119	0.003216716	0.000797226	0	0		
D4GV39	Ba3-type terminal oxidase subunit II	19378.54	2	TRUE	0	2	2	2	2	2	2	2	2	2	1	1	1	1	0	632.3	1172.9	4677.7	10742.3	13361.4	14070.2	12994.6	8857.4	9707	4793.1	3248	3021.8	4289.1	0	0.044938949	0.083360578	0.332454407	0.763478842	0.949624028	1	0.923554747	0.629514861	0.689897798	0.340656139	0.23084249	0.214765959	0.304835752		
D4GQG0	Uncharacterized protein	11656.97	4	TRUE	2	4	4	3	3	3	3	3	3	3	1	1	0	0	3251.6	5182.6	3981.6	5189.1	10400.4	8014.6	7130.8	8615	3801.1	3214.8	1602.3	605.5	0	0	0.312641821	0.498307757	0.38283143	0.498932733	1	0.770604977	0.685627476	0.828333526	0.365476328	0.309103496	0.154061382	0.058218915	0	0		
D4H006	Uncharacterized protein	7927.76	8	TRUE	0	4	4	8	8	8	8	7	4	4	1	0	0	0	0	1100	2232.8	6563.5	10340.7	8291.5	7168.6	5458.5	2004.6	731	41.6	0	0	0	0	0.106375777	0.215923487	0.634724922	1	0.801831597	0.69324127	0.527865618	0.193855348	0.070691539	0.004022938	0	0	0		
D4GXR3	"6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase"	25001.8	15	TRUE	0	15	15	15	15	14	11	10	4	1	0	0	0	0	0	5520.3	9863.2	12657.4	10211.2	4171.7	2178.5	719.6	93.1	9.8	0	0	0	0	0	0.436132223	0.779243763	1	0.806737561	0.329585855	0.172112756	0.056852118	0.007355381	0.000774251	0	0	0	0		
D4GUZ9	Iron-sulfur protein (2Fe-2S)	15518.53	3	TRUE	0	1	2	3	3	3	2	3	3	1	1	0	0	0	0	93	1361.1	4844.1	9091.6	15959.2	20579.1	17612	9146.8	5757.5	1713.4	0	0	0	0	0.004519148	0.066139919	0.235389303	0.441788028	0.775505246	1	0.855819739	0.444470361	0.27977414	0.083259229	0	0	0		
D4GYJ4	Thioesterase domain protein	17641.82	6	TRUE	5	6	6	6	6	6	5	5	5	3	3	1	1	0	3230.1	7595.5	7348.1	9807.2	8831.8	4121.4	2520.9	2764.8	1860.3	3100	2764.1	260.1	254.4	0	0.329360062	0.774482013	0.749255649	1	0.900542459	0.420242271	0.257045844	0.281915328	0.189687169	0.316094298	0.281843951	0.026521331	0.025940126	0		
D4GYQ4	Nickel import system ATP-binding protein NikD	39416.5	12	TRUE	6	12	11	12	11	12	10	10	7	8	7	4	5	3	625.9	3363	5578.8	7719	8546.8	5157	3773.5	3867.9	2429.1	2828	1910.8	1134.5	670.1	490.3	0.073232087	0.393480601	0.652735527	0.903145037	1	0.603383723	0.441510273	0.452555342	0.284211635	0.330884074	0.223569055	0.132739739	0.078403613	0.0573665		
D4GX13	Uracil-DNA glycosylase superfamily protein	23561.01	11	TRUE	0	10	11	11	11	10	8	8	4	2	1	0	0	0	0	4192	8016.7	9380.1	8471.6	3491.3	1932.7	995.8	228.8	161.1	55.3	0	0	0	0	0.446903551	0.854649737	1	0.903146022	0.372202855	0.20604258	0.106160915	0.024392064	0.017174657	0.00589546	0	0	0		
D4GXK7	Rpa-associated phosphoesterase	27938.12	15	TRUE	0	15	15	15	15	15	9	4	1	1	0	0	0	0	0	10249.4	11363.4	12809	8173.2	3543.2	1347.7	444.9	109.1	75	0	0	0	0	0	0.800171754	0.887141853	1	0.638082598	0.276618003	0.105215083	0.034733391	0.008517449	0.005855258	0	0	0	0		
D4GZL2	UPF0395 family protein	9185.29	6	TRUE	0	6	6	6	6	6	6	4	2	1	1	0	0	0	0	2409.3	4531.1	7462.4	7740.3	4243.1	2441.9	1079.3	218.3	141.8	73	0	0	0	0	0.311267005	0.585390747	0.964096999	1	0.548182887	0.315478728	0.13943904	0.028203041	0.018319703	0.009431159	0	0	0		
D4GWI6	UspA domain protein	17988.25	3	TRUE	0	3	3	3	3	3	3	3	3	2	0	0	0	0	0	870.4	2253.3	5311.7	7124.7	4180.6	2856	2825	1139.6	425.2	0	0	0	0	0	0.122166547	0.316265948	0.745533145	1	0.586775584	0.400858984	0.396507923	0.159950594	0.059679706	0	0	0	0		
D4GZ26	Transcriptional initiation protein Tat	13718.12	2	TRUE	0	1	1	1	1	1	2	1	1	1	1	1	0	0	0	340.7	1028.2	3112.2	6984.3	5771.9	1908.4	3104.3	1464.7	922.3	287.5	89.5	0	0	0	0.048780837	0.147215899	0.445599416	1	0.826410664	0.273241413	0.444468307	0.209713214	0.13205332	0.041163753	0.012814455	0	0		Sec/SPII
D4GYX3	UPF0201 protein HVO_0127	15526.14	10	TRUE	0	5	6	9	9	10	9	7	6	3	2	0	0	0	0	875.9	1511	3990.8	6887.1	5896.2	5990.9	3397.5	1336.3	528.3	138.5	0	0	0	0	0.1271798	0.219395682	0.57946015	1	0.856122316	0.86987266	0.493313586	0.194029417	0.076708629	0.020110061	0	0	0		
D4GYF8	Uncharacterized protein	10317.47	7	TRUE	0	6	7	7	7	6	6	6	4	3	2	0	0	0	0	1851.6	10682.5	17528	6680.8	3192.5	2002	1296.7	597	359.2	174.2	0	0	0	0	0.105636696	0.609453446	1	0.38115016	0.182137152	0.114217252	0.073978777	0.03405979	0.020492926	0.009938384	0	0	0		
D4GWS6	DUF2110 family protein	24462.21	12	TRUE	0	12	12	12	12	12	11	6	3	1	0	0	0	0	0	4462.5	11083	10274.1	6574.5	3652.3	1771.2	659.4	145.4	92.1	0	0	0	0	0	0.402643689	1	0.927014346	0.593205811	0.329540738	0.159812325	0.059496526	0.013119192	0.008310024	0	0	0	0		
D4GSI4	Adenosylcobinamide-phosphate guanylyltransferase	20398.8	4	TRUE	0	3	3	4	4	4	3	3	2	1	0	0	0	0	0	2060.2	4377.4	7114.2	6466.9	3409	1591.7	869.6	259.5	107.7	0	0	0	0	0	0.289589834	0.615304602	1	0.90901296	0.47918248	0.223735627	0.122234404	0.036476343	0.015138737	0	0	0	0		
D4GVR1	HGPRTase-like protein 1	20532.33	8	TRUE	6	5	6	8	8	8	8	8	8	7	6	4	3	1	2095	964.9	1978.2	3849.8	6335	3702.5	3338.6	4383.3	2889.1	2618.2	1730.4	985	401.9	322.9	0.330702447	0.152312549	0.312265193	0.607703236	1	0.58445146	0.527008682	0.691917916	0.45605367	0.413291239	0.273149171	0.155485399	0.0634412	0.050970797		
D4GYU7	Phosphoribosyltransferase	22413.85	12	TRUE	0	9	9	11	12	11	11	9	4	3	0	0	0	0	0	826.7	1118.3	2644.6	6313.8	2628.2	2234.8	1648.2	269.8	101.3	0	0	0	0	0	0.130935411	0.177119959	0.418860274	1	0.416262789	0.353954829	0.26104723	0.042731794	0.016044221	0	0	0	0		
D4GQS4	HTH domain protein	19752.3	6	TRUE	3	4	5	6	6	5	5	6	4	4	4	2	1	0	1094.9	1648.9	2770	4506.3	6176.3	5001.4	5165.1	4518	2972.9	1923	972.4	535.9	215.4	0	0.17727442	0.266972135	0.448488577	0.72961158	1	0.809772841	0.836277383	0.731505918	0.481339961	0.311351456	0.157440539	0.086767158	0.034875249	0		
D4GQV7	IclR family transcription regulator	28802.54	15	TRUE	1	12	15	15	15	15	15	15	12	13	7	3	3	2	18.3	851.8	2079.2	4385.6	6065.8	3965.7	3131.7	2753.2	1637.9	2037.3	978.1	578.2	223	170.6	0.003016915	0.140426654	0.342774242	0.723004385	1	0.65378021	0.516288041	0.453889017	0.270022091	0.335866662	0.16124831	0.09532131	0.036763494	0.028124897		
D4GZN1	TrmB family transcription regulator	16680.98	6	TRUE	2	5	6	6	6	6	4	4	2	2	1	0	0	0	130.3	4983.6	5239.3	6414.5	5821.3	2526.9	895	1060	98.8	135.6	14.7	0	0	0	0.020313353	0.776927274	0.816790085	1	0.90752202	0.393935615	0.139527633	0.165250604	0.015402603	0.021139606	0.002291683	0	0	0		
D4GSN5	ABC-type transport system ATP-binding protein (Probable substrate glutamine/glutamate/polar amino acids)	26639.24	9	TRUE	0	5	9	9	9	9	9	8	7	6	2	1	0	0	0	281.1	1097	3218.3	5738.8	5979.2	4762.6	3824.6	1748.3	1375.5	251.3	21.1	0	0	0	0.047012978	0.18346936	0.538249264	0.959793952	1	0.796527964	0.639650789	0.292396976	0.230047498	0.042029034	0.0035289	0	0		
D4H063	"6-carboxy-5,6,7,8-tetrahydropterin synthase"	17132.04	7	TRUE	7	5	7	7	6	7	6	6	4	2	2	0	0	0	3186.9	1534	3130.1	4740.7	5307.4	3319.6	2039.2	1583.9	584.8	181.4	32.7	0	0	0	0.600463504	0.28903041	0.589761465	0.893224554	1	0.62546633	0.384218261	0.298432377	0.110185778	0.034178694	0.006161209	0	0	0		
D4GPP6	Probable molybdenum cofactor guanylyltransferase	22091.8	8	TRUE	0	3	6	8	8	8	8	8	8	5	3	1	0	0	0	23	1152.5	2584.5	5290	4752.1	5262.2	5319.7	2400	1020.4	208.8	24.4	0	0	0	0.004323552	0.216647555	0.485835667	0.994416978	0.893302254	0.98919112	1	0.451153261	0.191815328	0.039250334	0.004586725	0	0		
D4GQJ9	Uncharacterized protein	15998.28	9	TRUE	0	9	9	9	9	9	9	9	6	2	0	0	0	0	0	387.8	1790.9	4386.1	5068.9	3632.4	1874	1459.5	252	24.2	0	0	0	0	0	0.076505751	0.353311369	0.865296218	1	0.716605181	0.369705459	0.287932293	0.049714928	0.004774211	0	0	0	0		
D4GXT4	UPF0145 protein HVO_1377	12814.2	5	TRUE	4	4	4	4	5	5	4	5	4	4	1	1	0	0	843.4	355.8	889.6	2428.3	4798.2	3569.2	2554.3	2985.1	1311.1	944	190.1	250.8	0	0	0.175774249	0.074152807	0.185402859	0.506085615	1	0.743862282	0.532345463	0.622129132	0.273248301	0.196740444	0.039619024	0.052269601	0	0		
D4GUP9	Phosphotransferase system component IIA	16629.44	4	TRUE	0	2	4	4	4	4	4	4	3	3	2	0	0	0	0	85.2	606.2	2210.4	4772.2	5465.4	5615.8	4330.4	1828	1210.5	404.5	0	0	0	0	0.01517148	0.10794544	0.393603761	0.849780975	0.973218419	1	0.771110082	0.325510168	0.215552548	0.072028918	0	0	0		
D4GX47	Thioredoxin domain protein	24200.44	5	TRUE	0	5	5	5	5	5	4	2	3	1	0	0	0	0	0	1533.3	2933.5	4177.2	4688.8	3159	1393.2	534.3	194.8	54.3	0	0	0	0	0	0.327013308	0.625639823	0.890888927	1	0.673733151	0.297133595	0.113952397	0.041545811	0.011580788	0	0	0	0		Tat/SPII
D4GU02	UPF0045 family protein	11033.33	3	TRUE	3	3	2	3	3	3	3	2	2	2	2	0	0	1	2500.2	2015.5	1312.5	3588.5	4560.9	2927	2560.6	1299	620.3	626.2	363.6	0	0	38.1	0.54818128	0.441908395	0.28777215	0.786796466	1	0.641759302	0.56142428	0.284812208	0.136003859	0.137297463	0.079721108	0	0	0.008353614		
D4GYT8	Uncharacterized protein	37636.85	12	TRUE	0	12	12	12	12	12	9	4	3	0	0	0	0	0	0	5603.3	5172.4	6034.8	4533.3	1739.6	619	209.3	79.3	0	0	0	0	0	0	0.928498045	0.857095513	1	0.75119308	0.288261417	0.102571751	0.034682177	0.013140452	0	0	0	0	0		
D4GPY7	ThuA family protein	23846.26	9	TRUE	0	8	7	9	9	7	6	5	3	0	0	0	0	0	0	2596.5	4029.8	5680.3	4422.8	1906.1	988.9	298.1	80.2	0	0	0	0	0	0	0.457106139	0.709434361	1	0.778620847	0.335563263	0.174092918	0.052479623	0.014118973	0	0	0	0	0		
D4GT61	anthranilate synthase	25014.3	7	TRUE	0	5	5	6	5	5	4	3	3	0	0	0	0	0	0	1039.3	2163.1	4460.2	4338.6	2213.2	840.7	658.4	639.5	0	0	0	0	0	0	0.233016457	0.484978252	1	0.972736649	0.496210932	0.188489305	0.147616699	0.143379221	0	0	0	0	0		
D4GVN7	TrkA domain protein	47760.52	14	TRUE	11	14	14	14	14	14	14	13	13	13	11	9	5	3	1747.6	3140.5	3444.6	4340.1	4292.2	3331.6	3081.3	3047.8	2512.3	2973.3	1759.2	1385.8	560.2	540.2	0.402663533	0.723600839	0.793668349	1	0.988963388	0.767632082	0.7099606	0.702241884	0.57885763	0.685076381	0.405336283	0.319301399	0.129075367	0.124467178		
D4GRQ1	DICT domain protein	27792.23	8	TRUE	4	7	8	7	8	7	6	5	2	3	1	0	0	0	477.4	2194.3	3422.1	4225.5	4234.9	1851.7	1094.6	762.2	231.7	225.5	32.3	0	0	0	0.112729935	0.518146828	0.808071029	0.997780349	1	0.437247633	0.258471274	0.179980637	0.054712036	0.053248011	0.007627099	0	0	0		
D4GS70	SirR/DtxR family transcription regulator Idr2	15392.75	5	TRUE	0	5	4	5	5	5	5	4	2	2	0	0	0	0	0	3008.7	3639.7	4137.5	3958.5	2152.9	1639.8	1476.6	440.8	603.7	0	0	0	0	0	0.727178248	0.879685801	1	0.95673716	0.520338369	0.396326284	0.356882175	0.106537764	0.145909366	0	0	0	0		
D4GVM7	NUDIX family hydrolase	17969.65	3	TRUE	3	2	3	3	3	3	3	3	2	1	0	0	0	0	869	550.4	1028.1	2486.8	3949.1	3143	2661.7	1752.5	700.6	238.3	0	0	0	0	0.220050138	0.139373528	0.260337798	0.629713099	1	0.795877542	0.674001671	0.443771999	0.177407511	0.060342863	0	0	0	0		
D4GTW6	UspA domain protein	14326.72	5	TRUE	1	4	4	5	5	5	5	5	5	3	3	1	0	0	217.7	1089.6	1540.7	2843.1	3795	2834.9	2394.5	3644	2099.6	1756.6	618.6	242.7	0	0	0.057364954	0.287114625	0.405981555	0.74916996	1	0.747009223	0.630961792	0.960210804	0.553254282	0.4628722	0.163003953	0.063952569	0	0		
D4GP67	Thioredoxin domain protein	12488.75	5	TRUE	0	2	5	3	5	4	4	3	2	2	1	1	2	1	0	341.7	1917.8	3319.7	3754.7	4506.1	4454.9	3867.8	1625.9	2108.1	938.5	724.6	581.6	399.1	0	0.075830541	0.425600852	0.736712456	0.833248263	1	0.988637625	0.858347573	0.360821997	0.467832494	0.20827323	0.160804243	0.129069484	0.088568829		
D4GV12	Uncharacterized protein	17737.79	6	TRUE	0	6	6	6	6	6	5	4	2	0	0	0	0	0	0	1217.3	2258.6	3950.6	3733.5	2221.1	1014.7	592.1	37.8	0	0	0	0	0	0	0.308130411	0.571710626	1	0.945046322	0.562218397	0.256847061	0.149875968	0.009568167	0	0	0	0	0		
D4GRW9	UspA domain protein	15266.04	6	TRUE	0	3	5	6	6	6	6	6	5	3	1	0	0	0	0	143.5	375.5	1593.6	3726.4	3047.5	2845.3	3118.8	1205.1	739.5	50.8	0	0	0	0	0.038509017	0.100767497	0.427651353	1	0.817813439	0.763551954	0.836947188	0.323395234	0.198448905	0.01363246	0	0	0		
D4GVF6	NADH dehydrogenase-like complex subunit B	26138.8	9	TRUE	4	9	9	9	9	9	8	7	7	3	1	1	1	0	240.2	1660.6	2752.6	3411.5	3610.3	1752.8	1175.1	1082.1	596.4	461.2	170.8	72	30.2	0	0.066531867	0.459961776	0.762429715	0.944935324	1	0.48549982	0.325485417	0.299725785	0.165194028	0.127745617	0.047309088	0.019942941	0.008364956	0		
D4GSD9	Lipoate--protein ligase domain protein	23785.43	9	TRUE	0	5	8	9	9	9	6	5	2	0	0	0	0	0	0	448.3	1257.3	3120.4	3550.8	1735.1	841.1	474.8	53.6	0	0	0	0	0	0	0.126253239	0.354089219	0.878787879	1	0.488650445	0.236876197	0.133716346	0.01509519	0	0	0	0	0		
D4GRZ1	Hsp20-type molecular chaperone	15169.54	8	TRUE	0	4	8	8	8	8	6	5	2	2	2	1	0	0	0	329	1036.4	2279.4	3296.4	2777.6	1966.1	1783	635.4	471.4	172.9	75.8	0	0	0	0.099805849	0.314403592	0.691481616	1	0.842616187	0.596438539	0.540893095	0.192755734	0.14300449	0.052451159	0.022994782	0	0		
D4GXW3	Halobacterial output domain-containing protein	13352.42	4	TRUE	0	4	4	4	4	4	4	2	3	1	0	0	0	0	0	2910.8	5227.2	6254.9	3210.5	1854.3	934.3	211.1	228.3	28.5	0	0	0	0	0	0.465363155	0.835696814	1	0.51327759	0.296455579	0.149370893	0.03374954	0.036499384	0.004556428	0	0	0	0		
D4GPA3	IclR family transcription regulator	28593.94	14	TRUE	0	12	14	14	14	12	12	12	10	8	6	2	0	0	0	1973.8	2097.3	2962.5	3161.8	1579.6	1082.3	1023.1	661.7	920	446.8	158.5	0	0	0	0.624264659	0.663324688	0.936966285	1	0.499588842	0.342305016	0.323581504	0.209279524	0.290973496	0.141311911	0.050129673	0	0		
D4GVU8	KaiC-type circadian clock protein CirD	25925.38	14	TRUE	0	2	8	13	14	13	14	13	10	5	4	1	0	0	0	43.2	459.7	1357	2974.5	2689.9	4541.7	2940	1651.3	1026.3	456.5	77.5	0	0	0	0.009511857	0.101217606	0.298786798	0.654930973	0.592267213	1	0.647334698	0.363586322	0.225972653	0.100513024	0.017064095	0	0		
D4GSC2	Uncharacterized protein	12929.73	6	TRUE	0	5	6	6	6	6	5	4	3	2	0	0	0	0	0	507.9	1450.6	2760.1	2966.6	2549.1	1385.1	1294.6	61.3	804.5	0	0	0	0	0	0.171206095	0.48897728	0.930391694	1	0.8592665	0.466898133	0.436391829	0.020663386	0.271185869	0	0	0	0		
D4GRD4	Pirin domain protein	27758.83	7	TRUE	4	6	6	7	6	6	7	7	7	6	6	6	4	4	177.2	1033.1	1689.8	2518.9	2761.8	2221.9	2606.9	2500.7	1884.7	2279.3	1748.8	1522.6	677.6	811.9	0.064161054	0.374067637	0.611847346	0.912050112	1	0.80451155	0.94391339	0.905460207	0.682417264	0.825295097	0.633210225	0.551307119	0.245347237	0.293974944		
D4GVU1	AstE domain protein	36922.78	13	TRUE	0	12	13	13	13	12	8	6	1	1	0	0	0	0	0	885.7	1679.4	2857.8	2725.7	1794.2	1424.1	982.7	254	166.6	0	0	0	0	0	0.309923718	0.587654839	1	0.953775632	0.6278256	0.498320386	0.343865911	0.088879558	0.058296592	0	0	0	0		
D4GX39	SCO1/SenC/PrrC family protein	24587.04	5	TRUE	0	2	4	5	5	5	4	4	3	3	2	1	0	0	0	463.5	1268.1	2381.5	2553.6	2580.8	3137.4	2815.2	1833.6	1680.7	619.7	181.2	0	0	0	0.147733792	0.404188181	0.759068018	0.813922356	0.822591955	1	0.8973035	0.58443297	0.535698349	0.19752024	0.057754829	0	0		Tat/SPII
