protein_id,signal_peptide,probability,cleavage_site,cleavage_site_prob
SKNY01000120.1_4@GCA_007123105.1,Tat/SPII,0.999930,22-23,0.851266
SKNY01000120.1_6@GCA_007123105.1,Tat/SPII,0.903056,18-19,0.761520
SKNY01000113.1_12@GCA_007123105.1,Tat/SPII,0.978382,30-31,0.819411
SKNY01000093.1_2@GCA_007123105.1,Tat/SPII,0.525787,37-38,0.393929
SKNY01000093.1_8@GCA_007123105.1,Sec/SPI,0.863693,26-27,0.768959
SKNY01000050.1_2@GCA_007123105.1,Tat/SPI,0.943653,57-58,0.797723
SKNY01000050.1_9@GCA_007123105.1,Sec/SPII,0.520353,18-19,0.508851
SKNY01000050.1_13@GCA_007123105.1,Tat/SPI,0.999979,32-33,0.880278
SKNY01000091.1_15@GCA_007123105.1,Sec/SPI,0.512824,30-31,0.459418
SKNY01000091.1_16@GCA_007123105.1,Sec/SPI,0.999020,29-30,0.943810
SKNY01000042.1_8@GCA_007123105.1,Sec/SPII,0.976905,24-25,0.960223
SKNY01000042.1_18@GCA_007123105.1,Sec/SPI,0.647580,33-34,0.611838
SKNY01000004.1_5@GCA_007123105.1,Sec/SPI,0.998947,23-24,0.947482
SKNY01000004.1_8@GCA_007123105.1,Tat/SPII,0.858606,20-21,0.715880
SKNY01000004.1_15@GCA_007123105.1,Tat/SPI,0.996274,39-40,0.909497
SKNY01000095.1_4@GCA_007123105.1,Sec/SPI,0.958169,23-24,0.538711
SKNY01000013.1_31@GCA_007123105.1,Tat/SPII,0.503896,42-43,0.402981
SKNY01000013.1_58@GCA_007123105.1,Tat/SPII,0.928322,29-30,0.776954
SKNY01000013.1_59@GCA_007123105.1,Tat/SPII,0.973805,29-30,0.822267
SKNY01000016.1_17@GCA_007123105.1,Tat/SPII,0.533372,21-22,0.436489
SKNY01000018.1_7@GCA_007123105.1,Tat/SPI,0.999304,32-33,0.491907
SKNY01000067.1_20@GCA_007123105.1,Tat/SPII,0.628577,44-45,0.509955
SKNY01000067.1_21@GCA_007123105.1,Tat/SPII,0.954270,24-25,0.793541
SKNY01000101.1_11@GCA_007123105.1,Tat/SPI,0.834982,31-32,0.677370
SKNY01000005.1_2@GCA_007123105.1,Sec/SPI,0.991331,34-35,0.936308
SKNY01000005.1_8@GCA_007123105.1,Tat/SPII,0.861591,20-21,0.723650
SKNY01000108.1_6@GCA_007123105.1,Tat/SPII,0.991682,29-30,0.831591
SKNY01000114.1_9@GCA_007123105.1,Tat/SPI,0.966056,20-21,0.873361
SKNY01000111.1_11@GCA_007123105.1,Tat/SPII,0.980712,21-22,0.823027
SKNY01000111.1_17@GCA_007123105.1,Tat/SPI,0.811174,36-37,0.527546
SKNY01000103.1_16@GCA_007123105.1,Sec/SPI,0.851600,20-21,0.781616
SKNY01000103.1_18@GCA_007123105.1,Tat/SPII,0.400535,37-38,0.315114
SKNY01000075.1_4@GCA_007123105.1,Tat/SPII,0.898452,32-33,0.742051
SKNY01000035.1_17@GCA_007123105.1,Sec/SPII,0.941963,20-21,0.894269
SKNY01000035.1_26@GCA_007123105.1,Tat/SPII,0.969322,32-33,0.812447
SKNY01000035.1_42@GCA_007123105.1,Tat/SPII,0.996399,27-28,0.842356
SKNY01000011.1_2@GCA_007123105.1,Tat/SPI,0.997539,41-42,0.904349
SKNY01000010.1_5@GCA_007123105.1,Sec/SPI,0.998817,28-29,0.976999
SKNY01000007.1_5@GCA_007123105.1,Sec/SPI,0.998931,24-25,0.952229
SKNY01000007.1_10@GCA_007123105.1,Sec/SPII,0.913626,20-21,0.880009
SKNY01000063.1_2@GCA_007123105.1,Sec/SPI,0.806345,20-21,0.526866
SKNY01000063.1_13@GCA_007123105.1,Sec/SPII,0.999882,18-19,0.982280
SKNY01000063.1_16@GCA_007123105.1,Tat/SPI,0.906394,32-33,0.768912
SKNY01000045.1_19@GCA_007123105.1,Sec/SPI,0.842007,14-15,0.718555
SKNY01000034.1_2@GCA_007123105.1,Tat/SPI,0.999859,25-26,0.958482
SKNY01000040.1_3@GCA_007123105.1,Tat/SPI,0.999988,36-37,0.903046
SKNY01000057.1_12@GCA_007123105.1,Sec/SPII,0.882490,20-21,0.861592
SKNY01000057.1_19@GCA_007123105.1,Tat/SPII,0.982488,21-22,0.831034
SKNY01000073.1_5@GCA_007123105.1,Tat/SPII,0.718397,21-22,0.613203
SKNY01000089.1_1@GCA_007123105.1,Sec/SPI,0.975658,36-37,0.905329
SKNY01000089.1_5@GCA_007123105.1,Tat/SPI,0.897904,54-55,0.778320
SKNY01000089.1_12@GCA_007123105.1,Tat/SPII,0.987906,33-34,0.822854
SKNY01000049.1_18@GCA_007123105.1,Sec/SPII,0.775880,31-32,0.764263
SKXI01000333.1_2@GCA_007128515.1,Sec/SPI,0.523744,46-47,0.351505
SKXI01000333.1_3@GCA_007128515.1,Sec/SPI,0.973106,29-30,0.779794
SKXI01000333.1_4@GCA_007128515.1,Sec/SPI,0.998196,26-27,0.916917
SKXI01000311.1_3@GCA_007128515.1,Tat/SPII,0.926083,23-24,0.784210
SKXI01000006.1_14@GCA_007128515.1,Tat/SPI,0.506192,31-32,0.210980
SKXI01000493.1_2@GCA_007128515.1,Tat/SPII,0.819715,25-26,0.689690
SKXI01000351.1_15@GCA_007128515.1,Tat/SPII,0.971844,23-24,0.829919
SKXI01000407.1_4@GCA_007128515.1,Tat/SPI,0.964315,44-45,0.846910
SKXI01000246.1_1@GCA_007128515.1,Sec/SPII,0.998298,21-22,0.980177
SKXI01000244.1_6@GCA_007128515.1,Tat/SPI,0.554729,28-29,0.329044
SKXI01000412.1_1@GCA_007128515.1,Tat/SPI,1.000002,32-33,0.911108
SKXI01000063.1_2@GCA_007128515.1,Tat/SPI,0.864416,44-45,0.546433
SKXI01000218.1_13@GCA_007128515.1,Tat/SPII,0.918845,30-31,0.763242
SKXI01000436.1_2@GCA_007128515.1,Sec/SPI,0.868679,24-25,0.930830
SKXI01000041.1_3@GCA_007128515.1,Tat/SPI,0.993549,36-37,0.886316
SKXI01000453.1_3@GCA_007128515.1,Tat/SPII,0.746596,23-24,0.629424
SKXI01000380.1_4@GCA_007128515.1,Tat/SPI,0.724413,30-31,0.443869
SKXI01000495.1_5@GCA_007128515.1,Tat/SPII,0.999424,20-21,0.839780
SKXI01000421.1_4@GCA_007128515.1,Sec/SPII,0.757142,20-21,0.734295
SKXI01000110.1_2@GCA_007128515.1,Sec/SPI,0.518753,26-27,0.444232
SKXI01000110.1_5@GCA_007128515.1,Sec/SPII,0.911836,19-20,0.892110
SKXI01000228.1_2@GCA_007128515.1,Tat/SPII,0.999884,25-26,0.841898
SKXI01000479.1_1@GCA_007128515.1,Tat/SPI,0.999543,42-43,0.910358
SKXI01000343.1_2@GCA_007128515.1,Tat/SPII,0.774638,25-26,0.650286
SKXI01000352.1_5@GCA_007128515.1,Tat/SPII,0.940346,31-32,0.788160
SKXI01000451.1_2@GCA_007128515.1,Tat/SPI,0.997986,38-39,0.874134
SKXI01000127.1_4@GCA_007128515.1,Tat/SPI,0.999963,35-36,0.914486
SKXI01000369.1_3@GCA_007128515.1,Tat/SPII,0.995075,22-23,0.847856
SKXI01000299.1_3@GCA_007128515.1,Tat/SPI,0.675556,34-35,0.448495
SKXI01000312.1_2@GCA_007128515.1,Tat/SPII,0.953105,26-27,0.811607
SKXI01000208.1_1@GCA_007128515.1,Tat/SPII,0.974400,22-23,0.824932
SKXI01000171.1_1@GCA_007128515.1,Tat/SPI,0.999951,33-34,0.907764
SKXI01000325.1_1@GCA_007128515.1,Tat/SPII,0.996868,19-20,0.848269
SKXI01000265.1_4@GCA_007128515.1,Tat/SPII,0.516171,45-46,0.420540
SKXI01000169.1_5@GCA_007128515.1,Tat/SPI,0.996648,30-31,0.715033
SKXI01000477.1_1@GCA_007128515.1,Sec/SPI,0.998976,25-26,0.971847
SKXI01000115.1_2@GCA_007128515.1,Tat/SPII,0.999884,26-27,0.841714
SKXI01000262.1_3@GCA_007128515.1,Tat/SPII,0.975455,27-28,0.814415
SKXI01000087.1_1@GCA_007128515.1,Tat/SPI,0.699481,45-46,0.499425
SKXI01000387.1_3@GCA_007128515.1,Tat/SPI,1.000009,34-35,0.836814
SKXI01000248.1_3@GCA_007128515.1,Tat/SPI,0.994298,23-24,0.894284
SKXI01000248.1_4@GCA_007128515.1,Sec/SPII,0.995669,15-16,0.972834
SKXI01000447.1_1@GCA_007128515.1,Tat/SPI,0.996053,40-41,0.739275
SKXI01000082.1_5@GCA_007128515.1,Tat/SPII,0.965179,31-32,0.808036
SKXI01000055.1_5@GCA_007128515.1,Tat/SPII,0.999535,27-28,0.838683
SKXI01000267.1_1@GCA_007128515.1,Tat/SPI,0.945362,29-30,0.616552
SKXI01000294.1_3@GCA_007128515.1,Tat/SPI,0.966736,29-30,0.856031
SKXI01000294.1_5@GCA_007128515.1,Sec/SPII,0.746672,17-18,0.721380
SKXI01000480.1_3@GCA_007128515.1,Tat/SPII,0.997955,31-32,0.836316
SKXI01000105.1_1@GCA_007128515.1,Tat/SPII,0.517048,21-22,0.420754
SKXI01000306.1_8@GCA_007128515.1,Tat/SPII,0.827438,48-49,0.693274
SKXI01000306.1_10@GCA_007128515.1,Sec/SPI,0.968993,24-25,0.941609
SKXI01000016.1_7@GCA_007128515.1,Tat/SPII,0.998571,22-23,0.849251
SKXI01000104.1_3@GCA_007128515.1,Tat/SPII,0.983301,24-25,0.831261
SKXI01000382.1_2@GCA_007128515.1,Tat/SPI,0.981564,27-28,0.754448
SKXI01000288.1_1@GCA_007128515.1,Sec/SPI,0.999110,23-24,0.974944
SKXI01000288.1_2@GCA_007128515.1,Sec/SPI,0.716910,24-25,0.573433
SKXI01000150.1_2@GCA_007128515.1,Tat/SPII,0.967235,36-37,0.793175
SKXI01000163.1_4@GCA_007128515.1,Tat/SPII,0.994474,19-20,0.844264
SKXI01000190.1_2@GCA_007128515.1,Sec/SPI,0.999025,27-28,0.943248
SKXI01000190.1_3@GCA_007128515.1,Tat/SPII,0.989319,29-30,0.822595
SKXI01000336.1_10@GCA_007128515.1,Sec/SPI,0.816291,25-26,0.901535
SKXI01000319.1_4@GCA_007128515.1,Tat/SPI,0.834395,49-50,0.468453
SKXI01000011.1_3@GCA_007128515.1,Tat/SPII,0.999846,27-28,0.846366
SKXI01000011.1_7@GCA_007128515.1,Tat/SPII,0.714713,39-40,0.491098
SKXI01000406.1_6@GCA_007128515.1,Tat/SPII,0.993969,32-33,0.839540
SKXI01000195.1_10@GCA_007128515.1,Tat/SPI,0.850660,46-47,0.373149
SKXI01000036.1_4@GCA_007128515.1,Sec/SPI,0.543477,24-25,0.364352
SKXI01000339.1_7@GCA_007128515.1,Sec/SPI,0.893557,29-30,0.830371
SKXI01000377.1_1@GCA_007128515.1,Tat/SPII,0.938492,23-24,0.792479
SKXI01000377.1_6@GCA_007128515.1,Tat/SPII,0.952664,24-25,0.803140
SKXI01000499.1_1@GCA_007128515.1,Sec/SPI,0.681536,31-32,0.731660
SKXI01000026.1_6@GCA_007128515.1,Tat/SPI,0.994356,37-38,0.871457
SKXI01000085.1_1@GCA_007128515.1,Tat/SPII,0.938372,24-25,0.798557
SKXI01000085.1_2@GCA_007128515.1,Tat/SPII,0.896123,27-28,0.722813
SKXI01000085.1_3@GCA_007128515.1,Tat/SPII,0.971566,20-21,0.825434
SKXI01000182.1_9@GCA_007128515.1,Tat/SPII,0.999442,26-27,0.842698
SKXI01000427.1_2@GCA_007128515.1,Tat/SPII,0.740103,28-29,0.616628
SKXI01000427.1_3@GCA_007128515.1,Tat/SPI,0.957252,25-26,0.694977
SKXI01000427.1_4@GCA_007128515.1,Tat/SPII,0.786960,20-21,0.656033
SKXI01000196.1_3@GCA_007128515.1,Tat/SPII,0.999576,24-25,0.844503
SKXI01000201.1_10@GCA_007128515.1,Tat/SPI,0.550076,40-41,0.285939
SKXI01000060.1_3@GCA_007128515.1,Tat/SPI,0.597934,58-59,0.172961
SKXI01000454.1_3@GCA_007128515.1,Sec/SPI,0.999026,24-25,0.768747
SKXI01000454.1_4@GCA_007128515.1,Sec/SPII,1.000046,18-19,0.994924
SKXI01000469.1_5@GCA_007128515.1,Sec/SPII,1.000067,19-20,0.997191
SKXI01000469.1_7@GCA_007128515.1,Tat/SPI,0.991544,34-35,0.892341
SKXI01000058.1_4@GCA_007128515.1,Tat/SPII,0.998166,30-31,0.844499
SKXI01000285.1_5@GCA_007128515.1,Sec/SPII,0.450358,20-21,0.368632
SKXI01000418.1_4@GCA_007128515.1,Tat/SPII,0.999409,26-27,0.841071
SKXI01000133.1_3@GCA_007128515.1,Tat/SPII,0.998998,31-32,0.837735
SKXI01000356.1_3@GCA_007128515.1,Sec/SPI,0.998448,17-18,0.969048
SKXI01000118.1_7@GCA_007128515.1,Sec/SPII,1.000061,18-19,0.995534
SKXI01000408.1_4@GCA_007128515.1,Tat/SPII,0.839919,43-44,0.693966
SKXI01000086.1_2@GCA_007128515.1,Tat/SPI,0.999978,30-31,0.914444
SKXI01000242.1_1@GCA_007128515.1,Tat/SPI,0.999973,32-33,0.899601
SKXI01000242.1_4@GCA_007128515.1,Tat/SPII,0.935284,21-22,0.779639
SKXI01000214.1_7@GCA_007128515.1,Tat/SPII,0.989935,26-27,0.837972
SKXI01000409.1_7@GCA_007128515.1,Tat/SPI,0.998782,36-37,0.884108
SKXI01000134.1_5@GCA_007128515.1,Tat/SPI,0.703562,25-26,0.462097
SKXI01000146.1_7@GCA_007128515.1,Tat/SPII,0.955022,22-23,0.816107
SKXI01000321.1_5@GCA_007128515.1,Tat/SPI,1.000000,28-29,0.955649
SKXI01000010.1_2@GCA_007128515.1,Sec/SPI,0.997505,36-37,0.967977
SKXI01000305.1_1@GCA_007128515.1,Tat/SPII,0.999846,22-23,0.853153
SKXI01000079.1_2@GCA_007128515.1,Sec/SPII,0.508148,19-20,0.478542
SKXI01000079.1_6@GCA_007128515.1,Tat/SPII,0.979063,25-26,0.820984
SKXI01000403.1_2@GCA_007128515.1,Sec/SPI,0.874546,25-26,0.788588
SKXI01000403.1_4@GCA_007128515.1,Tat/SPI,0.999837,33-34,0.705717
SKXI01000403.1_5@GCA_007128515.1,Sec/SPI,0.998830,28-29,0.978633
SKXI01000338.1_2@GCA_007128515.1,Tat/SPII,0.945399,31-32,0.798860
SKXI01000457.1_2@GCA_007128515.1,Sec/SPI,0.884282,20-21,0.845051
SKXI01000378.1_9@GCA_007128515.1,Tat/SPI,0.829322,34-35,0.511066
SKXI01000139.1_6@GCA_007128515.1,Tat/SPII,0.993907,29-30,0.834314
SKXI01000448.1_4@GCA_007128515.1,Sec/SPIII,0.497093,9-10,0.357624
SKXI01000448.1_5@GCA_007128515.1,Sec/SPIII,0.816006,13-14,0.599217
SKXI01000360.1_5@GCA_007128515.1,Tat/SPI,0.966126,43-44,0.832407
SKXI01000360.1_6@GCA_007128515.1,Tat/SPI,0.995251,38-39,0.902891
SKXI01000062.1_2@GCA_007128515.1,Tat/SPII,0.958914,17-18,0.853052
SKXI01000062.1_3@GCA_007128515.1,Tat/SPII,0.989749,30-31,0.834434
SKXI01000116.1_4@GCA_007128515.1,Tat/SPII,0.997095,29-30,0.846412
SKXI01000296.1_2@GCA_007128515.1,Tat/SPII,0.982217,20-21,0.830568
SKXI01000017.1_3@GCA_007128515.1,Tat/SPII,0.999319,25-26,0.845696
SKXI01000452.1_4@GCA_007128515.1,Sec/SPII,0.999958,17-18,0.985149
SKXI01000174.1_2@GCA_007128515.1,Sec/SPII,0.448465,27-28,0.351000
SKXI01000484.1_1@GCA_007128515.1,Tat/SPI,0.915504,42-43,0.793698
SKXI01000482.1_2@GCA_007128515.1,Tat/SPII,0.819414,27-28,0.678743
SKXI01000308.1_3@GCA_007128515.1,Sec/SPII,0.857259,18-19,0.838116
SKXI01000308.1_8@GCA_007128515.1,Sec/SPI,0.988643,22-23,0.916455
SKXI01000019.1_3@GCA_007128515.1,Tat/SPII,0.994024,30-31,0.840988
SKXI01000478.1_3@GCA_007128515.1,Tat/SPI,0.997555,28-29,0.906580
SKXI01000177.1_2@GCA_007128515.1,Tat/SPII,0.955894,25-26,0.807585
SKXI01000177.1_3@GCA_007128515.1,Tat/SPII,0.923760,22-23,0.769463
SKXI01000199.1_3@GCA_007128515.1,Sec/SPI,0.876449,35-36,0.806403
SKXI01000199.1_6@GCA_007128515.1,Tat/SPI,0.946205,32-33,0.809658
SKXI01000135.1_5@GCA_007128515.1,Tat/SPII,0.992474,17-18,0.847089
SKXI01000483.1_4@GCA_007128515.1,Tat/SPI,0.999732,42-43,0.716469
SKXI01000117.1_3@GCA_007128515.1,Sec/SPI,0.823994,16-17,0.847550
SKXI01000091.1_1@GCA_007128515.1,Tat/SPI,0.999932,31-32,0.883743
SKWB01000011.1_16@GCA_007129135.1,Sec/SPI,0.501858,26-27,0.433065
SKWB01000011.1_19@GCA_007129135.1,Sec/SPII,0.898190,19-20,0.877150
SKWB01000005.1_4@GCA_007129135.1,Tat/SPII,0.980610,34-35,0.818482
SKWB01000258.1_2@GCA_007129135.1,Tat/SPI,0.937060,28-29,0.839230
SKWB01000179.1_3@GCA_007129135.1,Tat/SPII,0.999527,26-27,0.853724
SKWB01000390.1_2@GCA_007129135.1,Tat/SPI,0.743524,30-31,0.233291
SKWB01000094.1_5@GCA_007129135.1,Sec/SPI,0.999089,23-24,0.975145
SKWB01000094.1_6@GCA_007129135.1,Sec/SPI,0.866364,26-27,0.544097
SKWB01000030.1_6@GCA_007129135.1,Tat/SPII,0.837534,20-21,0.703108
SKWB01000078.1_5@GCA_007129135.1,Tat/SPI,0.954536,46-47,0.375158
SKWB01000371.1_2@GCA_007129135.1,Tat/SPII,0.938387,31-32,0.776680
SKWB01000305.1_2@GCA_007129135.1,Tat/SPI,0.955837,34-35,0.677770
SKWB01000282.1_3@GCA_007129135.1,Sec/SPI,0.929631,24-25,0.777874
SKWB01000319.1_1@GCA_007129135.1,Tat/SPI,0.999982,31-32,0.769293
SKWB01000319.1_3@GCA_007129135.1,Sec/SPI,0.972213,25-26,0.795975
SKWB01000142.1_11@GCA_007129135.1,Tat/SPI,0.891944,44-45,0.584979
SKWB01000142.1_13@GCA_007129135.1,Tat/SPII,0.902391,21-22,0.766010
SKWB01000142.1_16@GCA_007129135.1,Tat/SPII,0.976358,27-28,0.815260
SKWB01000215.1_1@GCA_007129135.1,Tat/SPI,0.999968,31-32,0.883723
SKWB01000104.1_17@GCA_007129135.1,Tat/SPII,0.993604,25-26,0.839068
SKWB01000104.1_18@GCA_007129135.1,Tat/SPII,0.996939,23-24,0.839642
SKWB01000012.1_3@GCA_007129135.1,Sec/SPII,0.587801,20-21,0.574454
SKWB01000324.1_2@GCA_007129135.1,Sec/SPI,0.994416,19-20,0.957503
SKWB01000299.1_13@GCA_007129135.1,Tat/SPII,0.645551,39-40,0.536473
SKWB01000283.1_4@GCA_007129135.1,Sec/SPI,0.982255,18-19,0.925131
SKWB01000283.1_5@GCA_007129135.1,Tat/SPII,0.865112,24-25,0.725492
SKWB01000295.1_1@GCA_007129135.1,Tat/SPI,0.959405,28-29,0.811680
SKWB01000295.1_2@GCA_007129135.1,Tat/SPII,0.999927,27-28,0.848283
SKWB01000193.1_6@GCA_007129135.1,Sec/SPI,0.515334,23-24,0.297909
SKWB01000180.1_2@GCA_007129135.1,Sec/SPI,0.997322,27-28,0.958526
SKWB01000180.1_3@GCA_007129135.1,Tat/SPII,0.999797,33-34,0.823695
SKWB01000180.1_4@GCA_007129135.1,Tat/SPI,0.982506,33-34,0.883184
SKWB01000220.1_4@GCA_007129135.1,Tat/SPI,0.563861,67-68,0.303654
SKWB01000323.1_5@GCA_007129135.1,Tat/SPII,0.636942,23-24,0.535655
SKWB01000031.1_2@GCA_007129135.1,Tat/SPII,0.945770,21-22,0.792555
SKWB01000095.1_3@GCA_007129135.1,Tat/SPII,0.993149,30-31,0.836347
SKWB01000095.1_14@GCA_007129135.1,Tat/SPII,0.997992,30-31,0.822026
SKWB01000070.1_2@GCA_007129135.1,Tat/SPII,0.999956,23-24,0.842250
SKWB01000097.1_1@GCA_007129135.1,Tat/SPI,0.542948,58-59,0.257140
SKWB01000097.1_4@GCA_007129135.1,Tat/SPII,0.977283,42-43,0.796323
SKWB01000035.1_1@GCA_007129135.1,Tat/SPII,0.872854,32-33,0.717906
SKWB01000035.1_2@GCA_007129135.1,Tat/SPII,0.953195,24-25,0.804229
SKWB01000035.1_5@GCA_007129135.1,Tat/SPII,0.983408,25-26,0.836043
SKWB01000155.1_8@GCA_007129135.1,Tat/SPII,0.976611,39-40,0.800349
SKWB01000069.1_2@GCA_007129135.1,Tat/SPII,0.999482,20-21,0.841751
SKWB01000281.1_7@GCA_007129135.1,Tat/SPII,0.973049,24-25,0.824201
SKWB01000281.1_14@GCA_007129135.1,Tat/SPII,0.760173,27-28,0.631883
SKWB01000352.1_6@GCA_007129135.1,Tat/SPI,0.989675,35-36,0.867424
SKWB01000089.1_2@GCA_007129135.1,Tat/SPII,0.997797,29-30,0.844942
SKWB01000089.1_3@GCA_007129135.1,Tat/SPII,0.994200,28-29,0.840608
SKWB01000089.1_10@GCA_007129135.1,Tat/SPII,0.994188,31-32,0.831046
SKWB01000118.1_1@GCA_007129135.1,Tat/SPI,0.999231,31-32,0.916700
SKWB01000025.1_12@GCA_007129135.1,Tat/SPI,0.940690,34-35,0.717799
SKWB01000238.1_16@GCA_007129135.1,Tat/SPII,0.985520,23-24,0.836416
SKWB01000192.1_2@GCA_007129135.1,Sec/SPI,0.849867,24-25,0.897085
SKWB01000192.1_6@GCA_007129135.1,Tat/SPII,0.467276,19-20,0.374559
SKWB01000192.1_10@GCA_007129135.1,Tat/SPII,0.983588,25-26,0.831748
SKWB01000114.1_2@GCA_007129135.1,Sec/SPI,0.961349,30-31,0.301763
SKWB01000360.1_10@GCA_007129135.1,Tat/SPI,0.998782,36-37,0.884108
SKWB01000178.1_4@GCA_007129135.1,Tat/SPII,0.993523,35-36,0.813087
SKWB01000178.1_20@GCA_007129135.1,Tat/SPII,0.997373,26-27,0.856966
SKWB01000349.1_8@GCA_007129135.1,Tat/SPII,0.994703,20-21,0.847060
SKWB01000349.1_9@GCA_007129135.1,Tat/SPII,0.918069,27-28,0.741918
SKWB01000349.1_10@GCA_007129135.1,Tat/SPII,0.887439,24-25,0.758397
SKWB01000043.1_3@GCA_007129135.1,Sec/SPI,0.998921,23-24,0.664362
SKWB01000156.1_6@GCA_007129135.1,Sec/SPI,0.732848,36-37,0.453063
SKWB01000156.1_8@GCA_007129135.1,Tat/SPII,0.977042,34-35,0.822133
SKWB01000156.1_9@GCA_007129135.1,Sec/SPI,0.992382,35-36,0.959411
SKWB01000125.1_3@GCA_007129135.1,Tat/SPI,0.977315,31-32,0.843859
SKWB01000298.1_3@GCA_007129135.1,Tat/SPII,0.999945,23-24,0.841394
SKWB01000279.1_17@GCA_007129135.1,Tat/SPI,0.929425,38-39,0.798243
SKWB01000279.1_18@GCA_007129135.1,Tat/SPII,0.951750,27-28,0.806473
SKWB01000279.1_26@GCA_007129135.1,Tat/SPI,0.999983,32-33,0.915547
SKWB01000047.1_7@GCA_007129135.1,Sec/SPII,1.000020,18-19,0.988765
SKWB01000047.1_9@GCA_007129135.1,Tat/SPI,0.999346,36-37,0.909004
SKWB01000338.1_1@GCA_007129135.1,Sec/SPII,0.714156,20-21,0.693342
SKWB01000338.1_7@GCA_007129135.1,Sec/SPI,0.841878,40-41,0.706371
SKWB01000396.1_6@GCA_007129135.1,Tat/SPI,0.589881,41-42,0.300621
SKWB01000202.1_2@GCA_007129135.1,Tat/SPII,0.998673,30-31,0.826062
SKWB01000202.1_7@GCA_007129135.1,Tat/SPII,0.999834,24-25,0.861911
SKWB01000022.1_7@GCA_007129135.1,Sec/SPI,0.993277,25-26,0.865296
SKWB01000022.1_9@GCA_007129135.1,Tat/SPI,0.999972,33-34,0.713894
SKWB01000022.1_10@GCA_007129135.1,Sec/SPI,0.998873,28-29,0.979163
SKWB01000022.1_11@GCA_007129135.1,Sec/SPI,0.559270,38-39,0.551857
SKWB01000382.1_2@GCA_007129135.1,Tat/SPII,0.533579,51-52,0.468622
SKWB01000210.1_9@GCA_007129135.1,Sec/SPII,1.000068,19-20,0.997267
SKWB01000100.1_4@GCA_007129135.1,Tat/SPI,0.914440,42-43,0.809516
SKWB01000076.1_7@GCA_007129135.1,Tat/SPII,0.951711,22-23,0.794855
SKWB01000138.1_7@GCA_007129135.1,Tat/SPI,0.992702,32-33,0.894884
SKWB01000198.1_2@GCA_007129135.1,Tat/SPII,0.999809,22-23,0.854702
SKWB01000200.1_1@GCA_007129135.1,Sec/SPI,0.811458,29-30,0.847292
SKWB01000330.1_4@GCA_007129135.1,Tat/SPI,0.897953,24-25,0.769595
SKWB01000027.1_6@GCA_007129135.1,Tat/SPI,0.799898,32-33,0.554723
SKWB01000345.1_2@GCA_007129135.1,Tat/SPII,0.999816,21-22,0.837433
SKWB01000327.1_3@GCA_007129135.1,Tat/SPI,0.873923,27-28,0.569344
SKWB01000327.1_4@GCA_007129135.1,Sec/SPII,0.651688,21-22,0.632319
SKWB01000341.1_5@GCA_007129135.1,Tat/SPI,0.567098,26-27,0.387861
SKWB01000184.1_5@GCA_007129135.1,Tat/SPI,0.455384,31-32,0.374465
SKWB01000184.1_6@GCA_007129135.1,Tat/SPI,0.998614,23-24,0.918093
SKWB01000233.1_2@GCA_007129135.1,Sec/SPI,0.569428,27-28,0.464476
SKWB01000271.1_5@GCA_007129135.1,Tat/SPII,0.976073,17-18,0.831222
SKWB01000271.1_9@GCA_007129135.1,Sec/SPI,0.996251,24-25,0.857698
SKWB01000297.1_8@GCA_007129135.1,Tat/SPI,0.938558,50-51,0.802974
SKWB01000375.1_14@GCA_007129135.1,Sec/SPI,0.448828,28-29,0.354965
SKWB01000370.1_4@GCA_007129135.1,Tat/SPI,0.992372,36-37,0.737866
SKWB01000026.1_3@GCA_007129135.1,Tat/SPII,0.969068,21-22,0.808820
SKWB01000225.1_4@GCA_007129135.1,Tat/SPII,0.997693,20-21,0.839232
SKWB01000084.1_1@GCA_007129135.1,Tat/SPII,0.927757,26-27,0.789018
SKWB01000084.1_5@GCA_007129135.1,Tat/SPII,0.998151,22-23,0.849370
SKWB01000195.1_6@GCA_007129135.1,Sec/SPI,0.998811,25-26,0.969174
SKWB01000101.1_6@GCA_007129135.1,Sec/SPI,0.997576,29-30,0.974654
SKWB01000350.1_4@GCA_007129135.1,Tat/SPII,0.946899,23-24,0.805056
SKWB01000350.1_6@GCA_007129135.1,Sec/SPII,0.768681,20-21,0.664908
SKWB01000350.1_15@GCA_007129135.1,Sec/SPII,1.000015,26-27,0.991536
SKWB01000350.1_18@GCA_007129135.1,Tat/SPI,0.746366,48-49,0.442233
SKWB01000266.1_2@GCA_007129135.1,Tat/SPI,0.602822,31-32,0.315347
SKWB01000010.1_7@GCA_007129135.1,Tat/SPII,0.992721,31-32,0.831525
SKWB01000010.1_24@GCA_007129135.1,Sec/SPI,0.922898,25-26,0.905875
SKWB01000384.1_18@GCA_007129135.1,Tat/SPII,0.994469,27-28,0.836460
SKWB01000384.1_22@GCA_007129135.1,Tat/SPI,0.965548,39-40,0.849888
SKWB01000001.1_3@GCA_007129135.1,Tat/SPI,0.854446,44-45,0.705973
SKWB01000368.1_5@GCA_007129135.1,Tat/SPII,0.975700,29-30,0.817094
SKWB01000337.1_3@GCA_007129135.1,Tat/SPII,0.977856,26-27,0.827623
SKWB01000393.1_4@GCA_007129135.1,Tat/SPII,0.880827,21-22,0.723394
SKWB01000185.1_9@GCA_007129135.1,Tat/SPII,0.997522,30-31,0.841226
SKWB01000028.1_16@GCA_007129135.1,Tat/SPII,0.969461,29-30,0.805143
