query_organism,query_accession,query_protein_id,query_pfam_domain,query_start,query_end,target_accession,target_protein_id,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,ncbi_organism_name,rank_sequence,rank_structure,average_rank
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_004376175.1,WP_134229100.1,Bacteria,Bacillota,Bacilli,Bacillales_H,Bacillaceae_D,Halalkalibacterium,Halalkalibacterium halodurans,Halalkalibacterium halodurans,101,118,109.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_016290255.1,JAEETG010000010.1_2,Bacteria,Bacillota_A,Clostridia,Christensenellales,UBA1242,UBA7584,UBA7584 sp016290255,Clostridia bacterium,148,81,114.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_014905415.1,WP_200411684.1,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Virgibacillus,Virgibacillus salexigens,Virgibacillus salexigens,25,211,118
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_001598215.1,WP_062749270.1,Bacteria,Bacillota,Bacilli,Bacillales_H,Bacillaceae_D,Bacillus_H,Bacillus_H clausii_B,Alkalihalobacillus clausii,159,80,119.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_013408175.1,WP_179535026.1,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Actinopolyspora,Actinopolyspora biskrensis,Actinopolyspora biskrensis,204,35,119.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_900166625.1,WP_082234476.1,Bacteria,Bacillota,Bacilli,Bacillales_D,Halobacillaceae,Halobacillus_A,Halobacillus_A massiliensis,Halobacillus massiliensis,198,44,121
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_002008345.1,WP_078023693.1,Bacteria,Bacillota_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium_F,Clostridium_F tepidum,Clostridium tepidum,125,120,122.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_023399095.1,JAEWQS010000151.1_22,Bacteria,Bacillota_A,Clostridia,Christensenellales,SZUA-584,SZUA-584,SZUA-584 sp023399095,Firmicutes bacterium,97,151,124
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_012521175.1,NLM13823.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Defluviitaleaceae,Defluviitalea_A,Defluviitalea_A sp012521175,Epulopiscium sp.,169,83,126
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_905193725.1,CAJJPW010000136.1_4,Bacteria,Bacillota_A,Clostridia,Christensenellales,Christensenellaceae,CAJJPW01,CAJJPW01 sp905193725,uncultured Eubacteriales bacterium,150,105,127.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_900086715.1,WP_066192525.1,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus timonensis,Gracilibacillus timonensis,64,196,130
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_009917455.1,NBJ99005.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-95,CAG-95 sp009917455,bacterium 1xD8-48,143,128,135.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_023409735.1,JAEYRB010000010.1_42,Bacteria,Bacillota_A,Clostridia,Acetivibrionales,DTU013,JAEYRB01,JAEYRB01 sp023409735,Firmicutes bacterium,102,173,137.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_023461435.1,JAEYLC010000026.1_56,Bacteria,Bacillota_A,Clostridia,Christensenellales,SZUA-584,SZUA-584,SZUA-584 sp023461435,Firmicutes bacterium,165,116,140.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_016908775.1,WP_158739258.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Defluviitaleaceae,Defluviitalea_A,Defluviitalea_A raffinosedens,Defluviitalea raffinosedens,226,59,142.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_900176565.1,WP_085506519.1,Bacteria,Bacillota,Bacilli,Bacillales_D,Halobacillaceae,Thalassobacillus,Thalassobacillus devorans_A,Thalassobacillus devorans,152,138,145
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_000021925.1,WP_005811530.1,Bacteria,Bacillota_B,Desulfitobacteriia,Desulfitobacteriales,Desulfitobacteriaceae,Desulfitobacterium,Desulfitobacterium hafniense,Desulfitobacterium hafniense DCB-2,217,74,145.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_023398815.1,JAEWRW010000058.1_7,Bacteria,Bacillota_A,Clostridia,Christensenellales,UMGS416,JAEYRA01,JAEYRA01 sp023398815,Firmicutes bacterium,206,97,151.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_001675165.1,WP_065078171.1,Bacteria,Bacillota_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium_B,Clostridium_B ragsdalei,Clostridium ragsdalei P11,119,202,160.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_001513185.1,LFST01000051.1_104,Bacteria,Bacillota_E,DTU015,DTU015,DTU015,DTU015,DTU015 sp001513185,Clostridia bacterium DTU015,208,115,161.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_000190635.1,WP_041445048.1,Bacteria,Bacillota_B,Desulfitobacteriia,Desulfitobacteriales,Syntrophobotulaceae,Syntrophobotulus,Syntrophobotulus glycolicus,Syntrophobotulus glycolicus DSM 8271,280,45,162.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_023389275.1,JAEWEN010000029.1_6,Bacteria,Bacillota_A,Clostridia,Clostridiales,Caloramatoraceae,Clostridium_AB,Clostridium_AB sp023389275,Firmicutes bacterium,318,11,164.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_000143685.1,WP_013237356.1,Bacteria,Bacillota_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium_B,Clostridium_B ljungdahlii,Clostridium ljungdahlii DSM 13528,215,119,167
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_021608225.1,WP_236337998.1,Bacteria,Bacillota,Bacilli,Bacillales_G,Fictibacillaceae,Pseudalkalibacillus,Pseudalkalibacillus berkeleyi,Pseudalkalibacillus berkeleyi,115,237,176
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_000512895.1,WP_019224919.1,Bacteria,Bacillota_B,Desulfitobacteriia,Desulfitobacteriales,Syntrophobotulaceae,Dehalobacter,Dehalobacter restrictus,Dehalobacter restrictus DSM 9455,168,188,178
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_021646685.1,WP_236314789.1,Bacteria,Bacillota,Bacilli,Bacillales_G,Fictibacillaceae,Pseudalkalibacillus,Pseudalkalibacillus sp021646685,Alkalihalobacillus sp. EGI L200015,310,53,181.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_003344635.1,WP_114560190.1,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Desertihabitans,Desertihabitans aurantiacus,Desertihabitans aurantiacus,218,150,184
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_900178005.1,WP_085522192.1,Bacteria,Bacillota,Bacilli,Bacillales_K,Sporolactobacillaceae,Marseille-P3662,Marseille-P3662 sp900178005,Tuberibacillus sp. Marseille-P3662,76,294,185
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_005144865.1,WP_136947060.1,Bacteria,Bacillota,Bacilli,Bacillales_G,HB172195,Anaerobacillus_A,Anaerobacillus_A hwajinpoensis_A,Pseudalkalibacillus hwajinpoensis,237,139,188
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_020179385.1,WP_225066056.1,Bacteria,Bacillota,Bacilli,Bacillales_G,Fictibacillaceae,Pseudalkalibacillus,Pseudalkalibacillus sp020179385,Alkalihalobacillus sp. YIM B00296,264,114,189
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_015067305.1,MBE6891512.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,UBA644,HGM12619,HGM12619 sp015067305,Oscillospiraceae bacterium,179,204,191.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_000496835.1,WP_028784386.1,Bacteria,Bacillota,Bacilli,Bacillales_D,Halobacillaceae,Thalassobacillus,Thalassobacillus devorans_B,Thalassobacillus devorans MSP14,173,210,191.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_000243155.2,WP_014794003.1,Bacteria,Bacillota_B,Desulfitobacteriia,Desulfitobacteriales,Desulfitobacteriaceae,Desulfitobacterium,Desulfitobacterium dehalogenans,Desulfitobacterium dehalogenans ATCC 51507,367,17,192
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_004558185.1,SFDP01000065.1_3,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,SFDP01,SFDP01 sp004558185,Lachnospiraceae bacterium,336,50,193
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_905235475.1,CAJOLU010000002.1_43,Bacteria,Bacillota_A,Clostridia,Christensenellales,UBA1242,UBA7584,UBA7584 sp905235475,uncultured Clostridia bacterium,172,215,193.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_020524165.1,WP_226655360.1,Bacteria,Bacillota,Bacilli,Bacillales_G,HB172195,Anaerobacillus_A,Anaerobacillus_A hwajinpoensis_D,Pseudalkalibacillus hwajinpoensis,294,101,197.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_016191815.1,MBI3181895.1,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,JACPVI01,JACPVI01 sp016191815,Myxococcales bacterium,161,240,200.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_000335475.2,WP_002620965.1,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Cystobacter,Cystobacter fuscus,Cystobacter fuscus DSM 2262,345,56,200.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_944376795.1,CALWDW010000038.1_22,Bacteria,Bacillota_A,Clostridia,Christensenellales,UMGS416,CALWDW01,CALWDW01 sp944376795,uncultured Christensenellaceae bacterium,270,141,205.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_022919835.1,WP_244751769.1,Bacteria,Bacillota,Bacilli,Bacillales_D,Halobacillaceae,Halobacillus_A,Halobacillus_A sp022919835,Halobacillus sp. SSTM10-2,282,129,205.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_000423105.1,WP_051189136.1,Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Halalkalibacillus,Halalkalibacillus halophilus,Halalkalibacillus halophilus DSM 18494,303,122,212.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_003097615.1,WP_116555720.1,Bacteria,Bacillota,Bacilli,Bacillales_G,UBA6769,Pueribacillus,Pueribacillus theae,Pueribacillus theae,284,142,213
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_019694595.1,MBX7100388.1,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,JAIBBQ01,JAIBBQ01 sp019694595,Myxococcaceae bacterium,228,199,213.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_020171785.1,WP_224882097.1,Bacteria,Bacillota,Bacilli,Bacillales_G,HB172195,Anaerobacillus_A,Anaerobacillus_A hwajinpoensis_C,Pseudalkalibacillus hwajinpoensis,260,182,221
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_017484005.1,MBR1421490.1,Bacteria,Bacillota_C,Negativicutes,Selenomonadales,Selenomonadaceae,Quinella,Quinella sp017484005,Selenomonadaceae bacterium,409,38,223.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_002563635.1,WP_098443480.1,Bacteria,Bacillota,Bacilli,Bacillales_G,HB172195,Anaerobacillus_A,Anaerobacillus_A sp002563635,Bacillus sp. es.036,244,222,233
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_000687995.1,WP_026759915.1,Bacteria,Bacillota_C,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas_A,Selenomonas_A ruminantium_B,Selenomonas ruminantium AC2024,417,52,234.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_002148405.1,OUC14650.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,MUGG01,MUGG01 sp002148405,Alkalinema sp. CACIAM 70d,449,27,238
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_009818105.1,WP_159782415.1,Bacteria,Bacillota,Bacilli,Bacillales_G,HB172195,Anaerobacillus_A,Anaerobacillus_A sp009818105,Bacillus sp. N1-1,251,234,242.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_000435555.1,CDA81850.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Vescimonas,Vescimonas sp000435555,Firmicutes bacterium CAG:176,415,73,244
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_001592105.1,WP_066633889.1,Bacteria,Bacillota_B,Desulfotomaculia,Desulfotomaculales,Desulfofarciminaceae,Desulfolucanica,Desulfolucanica intricata,Desulfolucianica intricata,402,89,245.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_017457305.1,MBQ9706481.1,Bacteria,Bacillota_A,Clostridia,Christensenellales,CAG-314,Fimimonas,Fimimonas sp017457305,Clostridia bacterium,177,317,247
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_900156645.1,WP_076558956.1,Bacteria,Bacillota,Bacilli,Bacillales_D,Halobacillaceae,Salimicrobium,Salimicrobium flavidum,Salimicrobium flavidum,300,195,247.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_003517915.1,HCC34631.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA8129,UBA8129 sp003517915,Oscillospiraceae bacterium,261,242,251.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_900177535.1,WP_048896682.1,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae_H,Bacillus_I,Bacillus_I filamentosa,Priestia filamentosa,170,335,252.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_015234585.1,WP_194218743.1,Bacteria,Bacillota,Bacilli,Bacillales_G,HB172195,Anaerobacillus_A,Anaerobacillus_A hwajinpoensis_B,Pseudalkalibacillus hwajinpoensis,239,275,257
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_017303315.1,MBN8210704.1,Bacteria,Bacillota,Bacilli,Bacillales_G,HB172195,Anaerobacillus_A,Anaerobacillus_A sp017303315,Bacillus sp. NTK071,186,336,261
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_944386115.1,CALWZV010000035.1_11,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CALWZV01,CALWZV01 sp944386115,uncultured Clostridia bacterium,154,371,262.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_016281085.1,JAEEHY010000174.1_23,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA2868,UBA2868 sp016281085,Lachnospiraceae bacterium,368,158,263
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_015058625.1,MBE6086350.1,Bacteria,Bacillota_C,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas_A,Selenomonas_A ruminantium_N,Selenomonas ruminantium,416,112,264
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_002265875.1,WP_094907661.1,Bacteria,Bacillota,Bacilli,Bacillales_H,Marinococcaceae,Marinococcus,Marinococcus halophilus,Marinococcus halophilus,363,168,265.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_024623785.1,WP_306818359.1,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Archangium,Archangium sp024623785,Archangium sp. CY-1,307,224,265.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_000340475.1,WP_017795307.1,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus kimchii,Oceanobacillus kimchii X50,243,289,266
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_009929605.1,NCB96563.1,Bacteria,Bacillota_C,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella sp009929605,Negativicutes bacterium,288,250,269
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_007991515.1,WP_147211636.1,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus sojae,Oceanobacillus sojae,472,66,269
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_006716095.1,WP_142004143.1,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermatophilaceae,Barrientosiimonas,Barrientosiimonas humi,Barrientosiimonas humi,163,377,270
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_023511725.1,MCL6515138.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,JAIMAY01,JAIMAY01 sp023511725,Alicyclobacillus sp.,355,190,272.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_020524245.1,JAIVLN010000006.1_114,Bacteria,Bacillota,Bacilli,Bacillales_G,Fictibacillaceae,Pseudalkalibacillus,Pseudalkalibacillus sp020524245,Rossellomorea aquimaris,196,351,273.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_000737315.1,WP_044198443.1,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Hyalangium,Hyalangium minutum,Hyalangium minutum,390,157,273.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_017428215.1,MBQ6296255.1,Bacteria,Bacillota_C,Negativicutes,Selenomonadales,Selenomonadaceae,Quinella,Quinella sp017428215,Selenomonadaceae bacterium,388,160,274
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_000024945.1,WP_008714242.1,Bacteria,Bacillota_C,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella parvula,Veillonella parvula DSM 2008,459,98,278.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_022508565.1,MCH5167537.1,Bacteria,Bacillota,Bacilli,RF39,UBA660,CAG-582,CAG-582 sp022508565,Erysipelotrichales bacterium,283,276,279.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_902810435.1,WP_008714242.1,Bacteria,Bacillota_C,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella parvula_A,Veillonella parvula,460,99,279.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_010894475.1,WP_163782783.1,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus vastator,Myxococcus vastator,299,271,285
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_002886185.1,WP_110938831.1,Bacteria,Bacillota,Bacilli,Bacillales_H,Salisediminibacteriaceae,Salipaludibacillus,Salipaludibacillus neizhouensis,Salipaludibacillus neizhouensis,269,316,292.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_009742705.1,WP_197430181.1,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Auraticoccus,Auraticoccus cholistanensis,Auraticoccus cholistanensis,366,221,293.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_002563635.1,WP_098445066.1,Bacteria,Bacillota,Bacilli,Bacillales_G,HB172195,Anaerobacillus_A,Anaerobacillus_A sp002563635,Bacillus sp. es.036,295,293,294
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_014695375.1,WP_242031222.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,FACHB-T130,FACHB-T130,FACHB-T130 sp014695375,Coleofasciculus sp. FACHB-T130,391,198,294.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_004565465.1,WP_135109697.1,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus,Lentibacillus salicampi,Lentibacillus salicampi,563,34,298.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_900314855.1,OMWZ01000001.1_160,Bacteria,Bacillota_C,Negativicutes,Acidaminococcales,Acidaminococcaceae,Succiniclasticum,Succiniclasticum sp900314855,uncultured Selenomonadales bacterium,552,48,300
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_000011245.1,WP_011064676.1,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus iheyensis,Oceanobacillus iheyensis HTE831,369,239,304
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_012842105.1,HHY12771.1,Bacteria,Bacillota_E,DTU015,DTU015,DTU015,DTU015,DTU015 sp012842105,Firmicutes bacterium,429,181,305
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_017527075.1,MBR3497923.1,Bacteria,Bacillota_C,Negativicutes,Selenomonadales,Selenomonadaceae,Quinella,Quinella sp017527075,Selenomonadaceae bacterium,448,162,305
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_000188175.1,WP_009144634.1,Bacteria,Bacillota_C,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium_A,Phascolarctobacterium_A succinatutens,Phascolarctobacterium succinatutens YIT 12067,596,15,305.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_900547415.1,URGS01000008.1_63,Bacteria,Bacillota_C,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium_A,Phascolarctobacterium_A sp900547415,uncultured Phascolarctobacterium sp.,597,20,308.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_015234585.1,WP_194221479.1,Bacteria,Bacillota,Bacilli,Bacillales_G,HB172195,Anaerobacillus_A,Anaerobacillus_A hwajinpoensis_B,Pseudalkalibacillus hwajinpoensis,313,310,311.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_002959775.1,WP_009351205.1,Bacteria,Bacillota_C,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella rogosae,Veillonella rogosae JCM 15642,461,165,313
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_024762335.1,JANTHO010000022.1_36,Bacteria,Actinomycetota,Acidimicrobiia,UBA5794,UBA5794,JAHEEL01,JAHEEL01 sp024762335,Acidimicrobiia bacterium,470,169,319.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_019358875.1,MBW4546430.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae,Symplocastrum,Symplocastrum torsivum,Symplocastrum torsivum CPER-KK1,441,200,320.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_016820655.1,WP_203366689.1,Bacteria,Bacillota_A,Clostridia,Tissierellales,SIT17,Anaeromonas,Anaeromonas frigoriresistens,Anaeromonas frigoriresistens,301,343,322
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_018262385.1,MBS1150956.1,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,JAGSPQ01,JAGSPQ01 sp018262385,Myxococcaceae bacterium,393,254,323.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_910579805.1,CAJTWM010000001.1_142,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,RGIG3002,RGIG3002 sp910579805,uncultured Lachnospiraceae bacterium,515,143,329
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_023396555.1,JAEWWC010000237.1_5,Bacteria,Bacillota_A,Clostridia,Christensenellales,SZUA-584,SZUA-584,SZUA-584 sp023396555,Firmicutes bacterium,87,580,333.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_021203775.1,MCD8199085.1,Bacteria,Bacillota_C,Negativicutes,Acidaminococcales,Acidaminococcaceae,JAJQAO01,JAJQAO01 sp021203775,Phascolarctobacterium sp.,626,42,334
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCA_017518105.1,MBR6712617.1,Bacteria,Bacillota_C,Negativicutes,Selenomonadales,Selenomonadaceae,Quinella,Quinella sp017518105,Selenomonadaceae bacterium,447,232,339.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,203,260,GCF_000821065.1,WP_042533134.1,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus oncorhynchi,Oceanobacillus oncorhynchi,576,106,341
