assembly_accession,protein_id,hmm_accession,hmm_query,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species
GCA_013375455.1,NVM29216.1,PF01476.23,LysM,Archaea,Asgardarchaeota,Lokiarchaeia,Helarchaeales,HEL-GB-A,JABXJT01,JABXJT01 sp013375455
GCA_013375475.1,NVM45731.1,PF13457.9,GW,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,SOKP01,SOKP01 sp013375475
GCA_013375475.1,NVM45731.1,PF07653.20,SH3_2,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,SOKP01,SOKP01 sp013375475
GCA_013375485.1,NVM37371.1,PF07653.20,SH3_2,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,Loki-b32,Loki-b32 sp013375485
GCA_013375485.1,NVM37371.1,PF00018.31,SH3_1,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,Loki-b32,Loki-b32 sp013375485
GCA_013388835.1,NWF94998.1,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,Thorarchaeia,Thorarchaeales,Thorarchaeaceae,JACAEL01,JACAEL01 sp013388835
GCA_013403005.1,NYB52397.1,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp013403005
GCA_013403005.1,NYB52462.1,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp013403005
GCA_013824915.1,MBA4405446.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,PNOQ01,PNOQ01,PNOQ01 sp013824915
GCA_014237145.1,MBC2697435.1,PF01471.21,PG_binding_1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanocomedenaceae,Methanocomedens,Methanocomedens sp014237145
GCA_014297435.1,MBC5792409.1,PF04122.15,CW_binding_2,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,Nanosalinaceae,PL-Br10-U2g16,PL-Br10-U2g16 sp014297435
GCA_014361205.1,MBC7086832.1,PF01476.23,LysM,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,Methanomethylovorans sp014361205
GCA_014381105.1,MBC8156972.1,PF08239.14,SH3_3,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,TA-21,TA-21 sp014381105
GCA_014384375.1,MBC8500568.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GCA-2686295,GCA-2686295,GCA-2686295 sp014384375
GCA_014384685.1,MBC8518565.1,PF01471.21,PG_binding_1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-Q1,MGIIb-Q1 sp014384685
GCA_014523485.1,JAATVK010000199.1_7,PF01471.21,PG_binding_1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,TH1177,TH1177 sp014523485
GCA_014523515.1,JAATVJ010000095.1_1,PF01471.21,PG_binding_1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,TH1177,TH1177 sp014523515
GCA_014523515.1,JAATVJ010000196.1_3,PF01471.21,PG_binding_1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,TH1177,TH1177 sp014523515
GCA_014523515.1,JAATVJ010000344.1_8,PF01471.21,PG_binding_1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,TH1177,TH1177 sp014523515
GCA_014523515.1,JAATVJ010000428.1_1,PF01471.21,PG_binding_1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,TH1177,TH1177 sp014523515
GCA_014523695.1,JAATVS010000458.1_2,PF01471.21,PG_binding_1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,TH5896,TH5896 sp014523695
GCA_014728985.1,MBD3155600.1,PF01476.23,LysM,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,CG10238-14,CG10238-14 sp014728985
GCA_014729015.1,MBD3209382.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,WJKR01,WJKR01,WJKR01 sp014729015
GCA_014729315.1,MBD3337618.1,PF05036.16,SPOR,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,WJKD01,WJKD01 sp014729315
GCA_014729315.1,MBD3342366.1,PF06347.16,SH3_4,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,WJKD01,WJKD01 sp014729315
GCA_014729315.1,MBD3342366.1,PF08239.14,SH3_3,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,WJKD01,WJKD01 sp014729315
GCA_014729315.1,MBD3342707.1,PF05036.16,SPOR,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,WJKD01,WJKD01 sp014729315
GCA_014729705.1,MBD3260201.1,PF01471.21,PG_binding_1,Archaea,Altiarchaeota,Altiarchaeia,IMC4,SCGC-AAA252-I15,WJJK01,WJJK01 sp014729705
GCA_014729915.1,MBD3204701.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR15,WJJD01,WJJD01 sp014729915
GCA_014729995.1,MBD3163818.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,WJIZ01,WJIZ01,WJIZ01 sp014729995
GCA_014730165.1,MBD3201214.1,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,TEKIR-8,TEKIR-8 sp014730165
GCA_014730295.1,MBD3216404.1,PF13457.9,GW,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,TEKIR-8,TEKIR-8 sp014730295
GCA_014859725.1,MBE0523837.1,PF01471.21,PG_binding_1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanocomedenaceae,Kmv04,Kmv04 sp014859725
GCA_014874235.1,JACWAC010000046.1_5,PF18348.4,SH3_16,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,GCA-001856825,GCA-001856825,GCA-001856825 sp014874235
GCA_014874235.1,JACWAC010000066.1_9,PF01476.23,LysM,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,GCA-001856825,GCA-001856825,GCA-001856825 sp014874235
GCA_014874255.1,JACWAN010000071.1_3,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA525,UBA153,UBA153 sp014874255
GCA_015062825.1,MBE6489172.1,PF19127.3,Choline_bind_3,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae_A
GCA_015062825.1,MBE6489172.1,PF01473.23,Choline_bind_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae_A
GCA_015063035.1,MBE6512790.1,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter olleyae_A
GCA_015520145.1,WAQR01000027.1_11,PF04122.15,CW_binding_2,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,WAQR01,WAQR01,WAQR01 sp015520145
GCA_015520145.1,WAQR01000051.1_12,PF04122.15,CW_binding_2,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,WAQR01,WAQR01,WAQR01 sp015520145
GCA_015520145.1,WAQR01000100.1_6,PF01476.23,LysM,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,WAQR01,WAQR01,WAQR01 sp015520145
GCA_015520195.1,MCE4598986.1,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,WAQN01,WAQN01 sp015520195
GCA_015520245.1,WAQM01000079.1_6,PF05036.16,SPOR,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,WAQM01,WAQM01 sp015520245
GCA_015520245.1,WAQM01000160.1_4,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,WAQM01,WAQM01 sp015520245
GCA_015520265.1,WAQK01000043.1_11,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,WAQK01,WAQK01,WAQK01 sp015520265
GCA_015520535.1,WAPZ01000621.1_1,PF08239.14,SH3_3,Archaea,Asgardarchaeota,Heimdallarchaeia,Hodarchaeales,S146-22,S146-22,S146-22 sp015520535
GCA_015520565.1,WAPW01000023.1_5,PF08239.14,SH3_3,Archaea,Thermoplasmatota,Thermoplasmata,Aciduliprofundales,Aciduliprofundaceae,Aciduliprofundum,Aciduliprofundum sp015520565
GCA_015521565.1,WANX01000002.1_33,PF13457.9,GW,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,BMS3B,JAADFX01,JAADFX01 sp015521565
GCA_015521565.1,WANX01000040.1_6,PF04122.15,CW_binding_2,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,BMS3B,JAADFX01,JAADFX01 sp015521565
GCA_015521565.1,WANX01000056.1_1,PF04122.15,CW_binding_2,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,BMS3B,JAADFX01,JAADFX01 sp015521565
GCA_015521565.1,WANX01000067.1_5,PF04122.15,CW_binding_2,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,BMS3B,JAADFX01,JAADFX01 sp015521565
GCA_015521615.1,WANW01000025.1_24,PF04122.15,CW_binding_2,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,BMS3B,JAADFX01,JAADFX01 sp015521615
GCA_015521685.1,MCE4616853.1,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,Aeropyrum,Aeropyrum sp015521685
GCA_015521705.1,MCE4613558.1,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,S141-84,S141-84 sp015521705
GCA_015521735.1,WANQ01000030.1_27,PF08239.14,SH3_3,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,WANQ01,WANQ01,WANQ01 sp015521735
GCA_015521945.1,WANG01000001.1_4,PF04122.15,CW_binding_2,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,BMS3B,JAADFH01,JAADFH01 sp015521945
GCA_015521945.1,WANG01000053.1_3,PF04122.15,CW_binding_2,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,BMS3B,JAADFH01,JAADFH01 sp015521945
GCA_015521945.1,WANG01000100.1_3,PF04122.15,CW_binding_2,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,BMS3B,JAADFH01,JAADFH01 sp015521945
GCA_015522385.1,WAMJ01000136.1_38,PF01473.23,Choline_bind_1,Archaea,Asgardarchaeota,Heimdallarchaeia,UBA460,Kariarchaeaceae,S139-21,S139-21 sp015522385
GCA_015522385.1,WAMJ01000242.1_11,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,Heimdallarchaeia,UBA460,Kariarchaeaceae,S139-21,S139-21 sp015522385
GCA_015523125.1,WAKX01000032.1_111,PF08239.14,SH3_3,Archaea,Thermoplasmatota,Thermoplasmata,Aciduliprofundales,Aciduliprofundaceae,JAADDK01,JAADDK01 sp015523125
GCA_015523135.1,WAKY01000010.1_7,PF08239.14,SH3_3,Archaea,Thermoplasmatota,Thermoplasmata,Aciduliprofundales,Aciduliprofundaceae,Aciduliprofundum,Aciduliprofundum sp015523135
GCA_015523155.1,WAKW01000008.1_25,PF04122.15,CW_binding_2,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus_A,Methanothermococcus_A sp015523155
GCA_015523185.1,WAKV01000019.1_34,PF04122.15,CW_binding_2,Archaea,Methanobacteriota_B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp015523185
GCA_015523465.1,MCE4610611.1,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,Aeropyrum,Aeropyrum sp015523465
GCA_015523465.1,MCE4611443.1,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,Aeropyrum,Aeropyrum sp015523465
GCA_015523465.1,MCE4611443.1,PF01471.21,PG_binding_1,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,Aeropyrum,Aeropyrum sp015523465
GCA_015523565.1,WAKA01000015.1_16,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,Heimdallarchaeia,UBA460,Kariarchaeaceae,WAKA01,WAKA01 sp015523565
GCA_015523605.1,WAKC01000009.1_60,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Nitrososphaeria,Geothermarchaeales,JDFR-13,SZUA-1514,SZUA-1514 sp015523605
GCA_015661515.1,HIQ49991.1,PF09374.13,PG_binding_3,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,SZUA-1535,SZUA-1535,SZUA-1535 sp015661515
GCA_015661515.1,HIQ50318.1,PF04122.15,CW_binding_2,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,SZUA-1535,SZUA-1535,SZUA-1535 sp015661515
GCA_015663075.1,HIP17104.1,PF04122.15,CW_binding_2,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanofervidicoccus,Methanofervidicoccus okinawensis_C
GCA_016177315.1,MBI1969924.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA12501,JACOVN01,JACOVN01 sp016177315
GCA_016177345.1,MBI1970148.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA12501,JACPCA01,JACPCA01 sp016177345
GCA_016177345.1,MBI1970531.1,PF01471.21,PG_binding_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA12501,JACPCA01,JACPCA01 sp016177345
GCA_016179945.1,MBI2148365.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,GW2011-AR18,JACPCE01,JACPCE01 sp016179945
GCA_016179955.1,MBI2145776.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,JACPCD01,JACPCD01 sp016179955
GCA_016180135.1,MBI2140433.1,PF01471.21,PG_binding_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,JACPBV01,JACPBV01,JACPBV01 sp016180135
GCA_016180275.1,MBI2135804.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA10200,UBA10200,UBA10200 sp016180275
GCA_016180275.1,MBI2135942.1,PF01471.21,PG_binding_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA10200,UBA10200,UBA10200 sp016180275
GCA_016180925.1,MBI2173325.1,PF04122.15,CW_binding_2,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACPAH01,JACPAH01 sp016180925
GCA_016180945.1,MBI2076146.1,PF08239.14,SH3_3,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACPAG01,JACPAG01 sp016180945
GCA_016181345.1,MBI2112593.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,JACOZM01,JACOZM01 sp016181345
GCA_016181895.1,MBI2043504.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,JACQLK01,JACQLK01 sp016181895
GCA_016181895.1,MBI2043574.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,JACQLK01,JACQLK01 sp016181895
GCA_016185555.1,MBI2673239.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,JACPNG01,JACPNI01,JACPNI01 sp016185555
GCA_016185615.1,MBI2663328.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,JACPNG01,JACPNE01,JACPNE01 sp016185615
GCA_016186375.1,MBI2632134.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,JACPLS01,JACPLS01 sp016186375
GCA_016187385.1,MBI2543427.1,PF01476.23,LysM,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JACPAE01,JACPAE01 sp016187385
GCA_016188045.1,MBI2499852.1,PF01471.21,PG_binding_1,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,JACPIM01,JACPIM01,JACPIM01 sp016188045
GCA_016188105.1,MBI2582400.1,PF01471.21,PG_binding_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,JACPIL01,JACPIL01 sp016188105
GCA_016188175.1,MBI2576689.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,JACPBV01,JACPII01,JACPII01 sp016188175
GCA_016191585.1,MBI3190330.1,PF01471.21,PG_binding_1,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACPVU01,JACPVU01 sp016191585
GCA_016192905.1,MBI3051797.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA10216,JACPTG01,JACPTG01 sp016192905
GCA_016192995.1,MBI3032235.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,DSVV01,JACPTB01,JACPTB01 sp016192995
GCA_016192995.1,MBI3032655.1,PF01471.21,PG_binding_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,DSVV01,JACPTB01,JACPTB01 sp016192995
GCA_016198585.1,MBI4021293.1,PF01476.23,LysM,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,JACQOD01,JACQOD01 sp016198585
GCA_016198605.1,MBI4019716.1,PF01476.23,LysM,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,JACQIG01,JACQIG01 sp016198605
GCA_016198605.1,MBI4020440.1,PF01476.23,LysM,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,JACQIG01,JACQIG01 sp016198605
GCA_016198625.1,MBI4017989.1,PF08239.14,SH3_3,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACPJW01,JACPJW01 sp016198625
GCA_016198705.1,MBI4009972.1,PF04122.15,CW_binding_2,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JACQIA01,JACQIA01 sp016198705
GCA_016202745.1,MBI4176386.1,PF01476.23,LysM,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,JACQIG01,JACQIG01 sp016202745
GCA_016202845.1,MBI4163085.1,PF01476.23,LysM,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACQNW01,JACQNW01 sp016202845
GCA_016203335.1,MBI4148872.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,JACQNA01,JACQNA01,JACQNA01 sp016203335
GCA_016204145.1,MBI4116379.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,JACQLK01,JACQLK01 sp016204145
GCA_016207475.1,MBI4345139.1,PF04122.15,CW_binding_2,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,WAQR01,JACQPM01,JACQPM01 sp016207475
GCA_016207545.1,MBI4416024.1,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,RBG-16-68-12,EA-27,EA-27,EA-27 sp016207545
GCA_016208715.1,MBI4738351.1,PF01471.21,PG_binding_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA11576,JACQX01,JACQX01 sp016208715
GCA_016211165.1,MBI4448463.1,PF01471.21,PG_binding_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,JAGWAF01,JACQSU01,JACQSU01 sp016211165
GCA_016211165.1,MBI4449356.1,PF01471.21,PG_binding_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,JAGWAF01,JACQSU01,JACQSU01 sp016211165
GCA_016211195.1,MBI4441136.1,PF18348.4,SH3_16,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,JACQSS01,JACQSS01,JACQSS01 sp016211195
GCA_016211215.1,MBI4439946.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,JACQSR01,JACQSR01,JACQSR01 sp016211215
GCA_016212505.1,MBI5227567.1,PF01471.21,PG_binding_1,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,Bilamarchaeaceae,Bilamarchaeum,Bilamarchaeum sp016212505
GCA_016212525.1,MBI5222875.1,PF01471.21,PG_binding_1,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,Bilamarchaeaceae,Bilamarchaeum,Bilamarchaeum sp016212525
GCA_016214025.1,MBI4979948.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,JACRPH01,JACRPH01 sp016214025
GCA_016214025.1,MBI4981201.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,JACRPH01,JACRPH01 sp016214025
GCA_016215305.1,MBI5073497.1,PF01471.21,PG_binding_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,DSVV01,JACRPI01,JACRPI01 sp016215305
GCA_016215315.1,MBI5064763.1,PF01471.21,PG_binding_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,ARS49,JACRKG01,JACRKG01 sp016215315
GCA_016217785.1,MBI5458967.1,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp016217785
GCA_016217785.1,MBI5459083.1,PF08823.14,PG_binding_2,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp016217785
GCA_016217785.1,MBI5459083.1,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp016217785
GCA_016219795.1,MBI5389560.1,PF04122.15,CW_binding_2,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,JACRKL01,JACRKK01,JACRKK01 sp016219795
GCA_016219835.1,MBI5390821.1,PF01471.21,PG_binding_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,JACRKL01,JACRKL01,JACRKL01 sp016219835
GCA_016219865.1,MBI5392873.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,DSVV01,JACRKF01,JACRKF01 sp016219865
GCA_016222945.1,MBI5680564.1,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_D,Methanobacterium_D sp016222945
GCA_016234025.1,MBI5803920.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,JACQLL01,JACQLL01 sp016234025
GCA_016282985.1,JAEELZ010000087.1_29,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera sp016282985
GCA_016282985.1,JAEELZ010000087.1_35,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera sp016282985
GCA_016550395.1,JABXGY010000446.1_1,PF01471.21,PG_binding_1,Archaea,Asgardarchaeota,Hermodarchaeia,Hermodarchaeales,Hermodarchaeaceae,Hermodarchaeum,Hermodarchaeum sp016550395
GCA_016784085.1,MBL7059057.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,BS150m-G67,BS150m-G67 sp016784085
GCA_016784165.1,MBL7050651.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,BS150m-G63,BS150m-G63,BS150m-G63 sp016784165
GCA_016838945.1,JADLKP010000002.1_22,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp016838945
GCA_016838945.1,JADLKP010000003.1_26,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp016838945
GCA_016838945.1,JADLKP010000059.1_7,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp016838945
GCA_016839245.1,JAEOUN010000058.1_50,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,Thorarchaeia,Thorarchaeales,Thorarchaeaceae,MP8T-1,MP8T-1 sp016839245
GCA_016839275.1,JAEOUM010000139.1_26,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,Thorarchaeia,Thorarchaeales,Thorarchaeaceae,MP8T-1,MP8T-1 sp016839275
GCA_016839345.1,JAEOUL010000157.1_9,PF00018.31,SH3_1,Archaea,Asgardarchaeota,Thorarchaeia,Thorarchaeales,Thorarchaeaceae,SMTZ1-45,SMTZ1-45 sp016839345
GCA_016839345.1,JAEOUL010000275.1_5,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,Thorarchaeia,Thorarchaeales,Thorarchaeaceae,SMTZ1-45,SMTZ1-45 sp016839345
GCA_016839385.1,JAEOUK010000200.1_2,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,AMARA-1,AMARA-1,AMARA-1 sp016839385
GCA_016839405.1,JAEOUJ010000109.1_2,PF00018.31,SH3_1,Archaea,Asgardarchaeota,Heimdallarchaeia,JABLTI01,JABLTI01,JABLTI01,JABLTI01 sp016839405
GCA_016839605.1,JAEOTX010000107.1_1,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,Thorarchaeia,Thorarchaeales,Thorarchaeaceae,SMTZ1-83,SMTZ1-83 sp016839605
GCA_016839765.1,JAEOTP010000023.1_4,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,SOKP01,SOKP01 sp016839765
GCA_016839765.1,JAEOTP010000087.1_31,PF07653.20,SH3_2,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,SOKP01,SOKP01 sp016839765
