query,target,pfam_domain,domain_type,normalized_score,rank
APD24300.1@KY065499$Choline_bind_1:217-237,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,84.1,1
APD24300.1@KY065499$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.05,1
APD24300.1@KY065499$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.15,1
APD24300.1@KY065499$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.62,1
APD24300.1@KY065499$Choline_bind_3:195-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.8,1
APD24300.1@KY065499$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.71,1
APQ41998.1@KY206887$Amidase_2:14-140,WP_011590270.1@GCF_000013285.1,Amidase_2,catalytic,33.12,40
APQ41998.1@KY206887$SH3_3:332-386,WP_011590270.1@GCF_000013285.1,SH3_3,cell wall binding,29.96,21
ARU13466.1@KY705261$Amidase_5:2-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,91.82,1
ARU13466.1@KY705261$ZoocinA_TRD:167-200,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,80.18,1
ARU14443.1@KY705282$Amidase_5:2-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,91.18,1
ARU14443.1@KY705282$ZoocinA_TRD:167-200,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,76.7,1
ARU14489.1@KY705283$Amidase_5:2-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,93.51,1
ARU14489.1@KY705283$ZoocinA_TRD:167-278,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,84.99,1
ARU14581.1@KY705285$Amidase_5:1-155,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,85.7,1
ARU14581.1@KY705285$ZoocinA_TRD:166-199,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,77.16,1
ASD50641.1@MF041990$Glyco_hydro_25:52-237,WP_225354590.1@GCF_001591685.1,Glyco_hydro_25,catalytic,94.81,1
ASD50641.1@MF041990$LysM:351-393,WP_225354590.1@GCF_001591685.1,LysM,cell wall binding,83.25,1
ASR78719.1@MF288918$Amidase_2:20-143,WP_003271071.1@GCF_002119445.1,Amidase_2,catalytic,20.74,154
ASR79007.1@MF288919$Amidase_2:21-142,WP_003271071.1@GCF_002119445.1,Amidase_2,catalytic,23.72,122
ASZ78266.1@MF001367$CHAP:18-107,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,21.58,7
ATI19573.1@MF580761$Amidase_5:2-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,93.51,1
ATI19573.1@MF580761$ZoocinA_TRD:167-278,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,82.78,1
ATI20118.1@MF580775$Amidase_5:2-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,89.95,1
ATI20118.1@MF580775$ZoocinA_TRD:167-278,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,84.22,1
AUN43323.1@MG708273$Amidase_5:2-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,90.86,1
AUN43323.1@MG708273$ZoocinA_TRD:167-278,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,78.01,1
AWD93052.1@MF418016$SH3_3:296-345,WP_000873744.1@GCF_000021305.1,SH3_3,cell wall binding,49.34,5
AWD93052.1@MF418016$SH3_3:363-414,WP_001181414.1@GCF_000021305.1,SH3_3,cell wall binding,35.67,7
AWN09175.2@MH221129$Glyco_hydro_108:19-103,NP_459021.1@GCF_000006945.2,Glyco_hydro_108,catalytic,27.27,344
AWN09175.2@MH221129$PG_binding_3:105-191,NP_459021.1@GCF_000006945.2,PG_binding_3,cell wall binding,34.87,47
AWY02956.1@MH356730$CHAP:16-114,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,38.25,3
AWY03205.1@MH375074$Amidase_2:41-176,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,35.24,4
AWY03205.1@MH375074$SH3_5:284-350,WP_010816176.1@GCF_000392875.1,SH3_5,cell wall binding,54.97,1
AXC33923.1@MH355583$Amidase_2:41-176,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,36.24,4
AXC33923.1@MH355583$SH3_5:284-350,WP_010816176.1@GCF_000392875.1,SH3_5,cell wall binding,54.63,1
AXC42919.1@MH321492$CHAP:7-100,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,42.24,4
AXF53542.1@MH375594$Amidase_5:3-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,90.51,1
AXF53542.1@MH375594$ZoocinA_TRD:167-278,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,86.74,1
AXF53591.1@MH375595$Amidase_5:2-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,90.81,1
AXF53591.1@MH375595$ZoocinA_TRD:167-200,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,81.29,1
AXF53685.1@MH375598$Amidase_5:2-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,90.97,1
AXF53685.1@MH375598$ZoocinA_TRD:167-278,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,82.48,1
AXF53769.1@MH375600$Amidase_5:3-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,90.51,1
AXF53769.1@MH375600$ZoocinA_TRD:167-278,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,88.6,1
AYB69373.1@MH727549$Amidase_2:201-341,WP_058126874.1@GCF_001457595.1,Amidase_2,catalytic,60.4,3
AYB69373.1@MH727549$PG_binding_1:392-448,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,34.74,13
AYD84235.1@MH779509$PG_binding_1:378-434,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,41.0,1
AYJ76152.1@MH707430$Amidase_3:3-178,NP_389623.2@GCF_000009045.1,Amidase_3,catalytic,46.98,75
AYP29273.1@MH892356$Amidase_5:2-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,93.8,1
AYP29273.1@MH892356$ZoocinA_TRD:167-278,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,83.59,1
AYP29873.1@MH892372$Amidase_5:2-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,87.19,1
AYP29873.1@MH892372$ZoocinA_TRD:167-278,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,83.84,1
AYP30261.1@MH892381$Amidase_5:2-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,92.35,1
AYP30261.1@MH892381$ZoocinA_TRD:167-278,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,85.29,1
AYR04468.1@MH892365$Amidase_5:2-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,92.12,1
AYR04468.1@MH892365$ZoocinA_TRD:167-200,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,73.79,1
AZF89405.1@MK017819$SH3_3:360-414,WP_011590270.1@GCF_000013285.1,SH3_3,cell wall binding,33.89,5
AZF90960.1@MH937473$Amidase_5:2-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,88.02,1
AZF90960.1@MH937473$ZoocinA_TRD:167-200,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,80.34,1
AZF91436.1@MH937492$Amidase_5:2-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,89.95,1
AZF91436.1@MH937492$ZoocinA_TRD:167-200,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,77.85,1
AZF92845.1@MH937489$Amidase_5:2-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,88.88,1
AZF92845.1@MH937489$ZoocinA_TRD:167-278,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,82.47,1
AZF92884.1@MH937491$ZoocinA_TRD:81-192,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,78.24,1
AZS06172.1@MK202160$Amidase_5:3-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,83.21,1
AZS06172.1@MK202160$ZoocinA_TRD:167-278,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,74.92,1
AZS06471.1@MK125140$Amidase_2:42-177,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,34.16,4
AZS06471.1@MK125140$SH3_5:285-351,WP_010816176.1@GCF_000392875.1,SH3_5,cell wall binding,53.68,1
BAL42323.1@AB626963$CHAP:18-110,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,21.97,7
BAN05360.1@AB746912$Glyco_hydro_108:22-112,WP_012081860.1@GCF_000010325.1,Glyco_hydro_108,catalytic,98.44,1
BAN05360.1@AB746912$PG_binding_1:108-140,WP_012081860.1@GCF_000010325.1,PG_binding_1,cell wall binding,90.43,1
BAN05360.1@AB746912$PG_binding_3:114-183,WP_012081860.1@GCF_000010325.1,PG_binding_3,cell wall binding,97.23,1
BCD83116.1@LC545443$Glyco_hydro_108:22-112,WP_201335169.1@GCF_016629565.1,Glyco_hydro_108,catalytic,98.51,1
BCD83116.1@LC545443$PG_binding_1:108-140,WP_201335169.1@GCF_016629565.1,PG_binding_1,cell wall binding,90.25,1
BCD83116.1@LC545443$PG_binding_3:114-183,WP_201335169.1@GCF_016629565.1,PG_binding_3,cell wall binding,97.31,1
CBR26921.1@FN997652$CHAP:343-433,AUC91164.1@GCA_002831545.1,CHAP,catalytic,17.6,11
CBW38968.1@FR671406$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,95.03,1
CBW38968.1@FR671406$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
CBW39025.1@FR671407$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,95.66,1
CBW39025.1@FR671407$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
CBW39025.1@FR671407$Choline_bind_1:217-230,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,71.52,1
CBW39128.1@FR671409$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,97.02,1
CBW39128.1@FR671409$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
CBW39128.1@FR671409$Choline_bind_1:217-232,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,72.45,1
CBW39128.1@FR671409$Choline_bind_3:195-232,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,89.02,1
NP_038345.1@NC_002185$Amidase_5:2-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,90.95,1
NP_038345.1@NC_002185$ZoocinA_TRD:167-278,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,89.33,1
NP_040733.1@NC_001423$LysM:213-258,NP_389128.1@GCF_000009045.1,LysM,cell wall binding,36.18,106
NP_049413.1@NC_002072$Amidase_5:3-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,87.62,1
NP_049413.1@NC_002072$ZoocinA_TRD:167-200,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,80.18,1
NP_049942.1@NC_000871$Amidase_5:10-163,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,86.81,1
NP_049942.1@NC_000871$ZoocinA_TRD:174-285,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,85.43,1
NP_049985.1@NC_000872$Amidase_5:10-163,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,86.81,1
NP_049985.1@NC_000872$ZoocinA_TRD:174-285,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,86.28,1
NP_056699.1@NC_002214$Amidase_5:10-163,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,85.53,1
NP_056699.1@NC_002214$ZoocinA_TRD:174-285,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,86.28,1
NP_073698.1@NC_002649$Amidase_3:4-174,MBO8177558.1@GCA_017656295.1,Amidase_3,catalytic,20.03,2114
NP_108734.1@NC_002703$Glyco_hydro_25:32-217,WP_025016890.1@GCF_900099625.1,Glyco_hydro_25,catalytic,95.11,1
NP_108734.1@NC_002703$LysM:331-375,WP_025016890.1@GCF_900099625.1,LysM,cell wall binding,88.26,1
NP_108734.1@NC_002703$LysM:385-427,WP_025016890.1@GCF_900099625.1,LysM,cell wall binding,78.15,1
NP_112716.1@NC_002747$Glyco_hydro_25:32-217,WP_025016890.1@GCF_900099625.1,Glyco_hydro_25,catalytic,96.19,1
NP_112716.1@NC_002747$LysM:332-376,WP_025016890.1@GCF_900099625.1,LysM,cell wall binding,87.47,1
NP_112716.1@NC_002747$LysM:386-428,WP_025016890.1@GCF_900099625.1,LysM,cell wall binding,83.87,1
NP_438163.1@NC_003157$CHAP:176-266,WP_046735271.1@GCF_002055535.1,CHAP,catalytic,97.47,1
NP_438163.1@NC_003157$Glucosaminidase:8-141,WP_010922446.1@GCF_002055535.1,Glucosaminidase,catalytic,91.78,1
NP_438163.1@NC_003157$SH3_5:302-383,WP_011888700.1@GCF_002055535.1,SH3_5,cell wall binding,96.82,1
NP_511002.1@NC_003291$Amidase_3:5-173,WP_003723525.1@GCF_900187225.1,Amidase_3,catalytic,10.09,1024
NP_695129.1@NC_004303$Amidase_5:3-156,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,81.88,1
NP_695129.1@NC_004303$ZoocinA_TRD:167-278,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,87.57,1
NP_817703.1@NC_004683$PG_binding_1:185-244,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,27.27,351
NP_958600.1@NC_005355$Glyco_hydro_25:10-200,WP_004896054.1@GCF_000159355.1,Glyco_hydro_25,catalytic,53.24,2
NP_958600.1@NC_005355$SH3_5:234-299,WP_234600844.1@GCF_000159355.1,SH3_5,cell wall binding,61.19,1
QAX97259.1@MK360024$Amidase_2:41-176,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,34.5,5
QBI96502.1@MK524490$PG_binding_1:459-518,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,37.95,11
QBP06957.1@MK560763$LysM:268-312,WP_239544326.1@GCF_016908515.1,LysM,cell wall binding,36.11,1551
QBQ71234.1@MK494095$Amidase_2:201-341,WP_058126874.1@GCF_001457595.1,Amidase_2,catalytic,60.35,3
QBQ71234.1@MK494095$PG_binding_1:392-448,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,34.67,14
QBX18865.1@MK448763$CHAP:176-266,WP_046735271.1@GCF_002055535.1,CHAP,catalytic,97.47,1
QBX18865.1@MK448763$Glucosaminidase:8-141,WP_010922446.1@GCF_002055535.1,Glucosaminidase,catalytic,91.78,1
QBX18865.1@MK448763$SH3_5:317-383,WP_046735271.1@GCF_002055535.1,SH3_5,cell wall binding,89.78,1
QBX19176.1@MK448769$CHAP:20-110,WP_011285561.1@GCF_002055535.1,CHAP,catalytic,63.26,2
QBX19176.1@MK448769$SH3_5:168-234,WP_011285561.1@GCF_002055535.1,SH3_5,cell wall binding,38.41,10
QBX19450.1@MK448774$CHAP:177-267,WP_010922446.1@GCF_002055535.1,CHAP,catalytic,97.49,1
QBX19450.1@MK448774$Glucosaminidase:8-141,WP_010922446.1@GCF_002055535.1,Glucosaminidase,catalytic,98.56,1
QBX19450.1@MK448774$SH3_5:303-384,WP_010922446.1@GCF_002055535.1,SH3_5,cell wall binding,96.75,1
QBX21448.1@MK448811$CHAP:343-433,AUC91164.1@GCA_002831545.1,CHAP,catalytic,17.15,11
QBX21626.1@MK448814$SH3_5:196-263,AUC92122.1@GCA_002831545.1,SH3_5,cell wall binding,18.0,24
QBX24237.1@MK448864$SH3_5:321-387,VEH28925.1@GCA_900637675.1,SH3_5,cell wall binding,18.96,95
QBX28555.1@MK448946$CHAP:178-268,WP_010922446.1@GCF_002055535.1,CHAP,catalytic,88.16,1
QBX28555.1@MK448946$Glucosaminidase:8-141,WP_010922446.1@GCF_002055535.1,Glucosaminidase,catalytic,88.33,1
QBX28555.1@MK448946$SH3_5:319-385,WP_046735271.1@GCF_002055535.1,SH3_5,cell wall binding,90.0,1
QBX28561.1@MK448947$CHAP:175-266,WP_046735271.1@GCF_002055535.1,CHAP,catalytic,67.0,1
QBX28561.1@MK448947$Glucosaminidase:8-141,WP_010922446.1@GCF_002055535.1,Glucosaminidase,catalytic,93.9,1
QBX28561.1@MK448947$SH3_5:315-381,WP_046735271.1@GCF_002055535.1,SH3_5,cell wall binding,88.34,1
QBX28722.1@MK448950$CHAP:177-267,WP_010922446.1@GCF_002055535.1,CHAP,catalytic,93.27,1
QBX28722.1@MK448950$Glucosaminidase:8-141,WP_010922446.1@GCF_002055535.1,Glucosaminidase,catalytic,90.68,1
QBX28722.1@MK448950$SH3_5:303-384,WP_011888700.1@GCF_002055535.1,SH3_5,cell wall binding,94.03,1
QBX28834.1@MK448951$CHAP:175-266,WP_046735271.1@GCF_002055535.1,CHAP,catalytic,67.0,1
QBX28834.1@MK448951$Glucosaminidase:8-141,WP_010922446.1@GCF_002055535.1,Glucosaminidase,catalytic,90.49,1
QBX28834.1@MK448951$SH3_5:316-381,WP_046735271.1@GCF_002055535.1,SH3_5,cell wall binding,90.47,1
QBX29004.1@MK448954$CHAP:176-266,WP_046735271.1@GCF_002055535.1,CHAP,catalytic,97.47,1
QBX29004.1@MK448954$Glucosaminidase:8-141,WP_010922446.1@GCF_002055535.1,Glucosaminidase,catalytic,91.78,1
QBX29004.1@MK448954$SH3_5:317-383,WP_046735271.1@GCF_002055535.1,SH3_5,cell wall binding,89.26,1
QBX29012.1@MK448955$CHAP:20-110,WP_011285561.1@GCF_002055535.1,CHAP,catalytic,62.95,2
QBX29012.1@MK448955$SH3_5:168-234,WP_011285561.1@GCF_002055535.1,SH3_5,cell wall binding,36.81,10
QBX30585.1@MK448983$CHAP:343-433,AUC91164.1@GCA_002831545.1,CHAP,catalytic,17.15,11
QBX30787.1@MK448986$CHAP:17-112,AUC92122.1@GCA_002831545.1,CHAP,catalytic,92.95,1
QBX30787.1@MK448986$SH3_5:158-223,AUC92122.1@GCA_002831545.1,SH3_5,cell wall binding,92.35,1
QBX30794.1@MK448987$SH3_5:196-263,AUC92122.1@GCA_002831545.1,SH3_5,cell wall binding,18.96,27
QBZ69320.1@MK721190$Amidase_2:41-176,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,34.95,4
QBZ69320.1@MK721190$SH3_5:284-350,WP_010816176.1@GCF_000392875.1,SH3_5,cell wall binding,54.97,1
QBZ69829.1@MK721191$Amidase_2:41-176,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,34.2,4
QBZ69829.1@MK721191$SH3_5:284-350,WP_010816176.1@GCF_000392875.1,SH3_5,cell wall binding,54.96,1
QBZ69894.1@MK721199$Amidase_2:41-176,WP_010816176.1@GCF_000392875.1,Amidase_2,catalytic,34.37,4
QBZ69894.1@MK721199$SH3_5:283-350,WP_010816176.1@GCF_000392875.1,SH3_5,cell wall binding,52.95,1
QBZ69962.1@MK721186$Amidase_2:41-176,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,34.85,4
QBZ70250.1@MK721200$Amidase_2:41-176,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,35.1,4
QBZ70250.1@MK721200$SH3_5:284-350,WP_010816176.1@GCF_000392875.1,SH3_5,cell wall binding,55.5,1
QDF15356.1@MK982307$Amidase_2:41-176,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,35.1,4
QDF15356.1@MK982307$SH3_5:284-350,WP_010816176.1@GCF_000392875.1,SH3_5,cell wall binding,54.97,1
QEG04126.1@MN150686$Amidase_3:5-168,MBO8177558.1@GCA_017656295.1,Amidase_3,catalytic,9.54,2736
QEG07414.1@MK922546$CHAP:18-107,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,25.43,7
QEG13565.1@MN013089$Amidase_3:5-168,MBO8177558.1@GCA_017656295.1,Amidase_3,catalytic,9.62,2608
QEL53351.1@MG264739$Amidase_2:41-176,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,34.29,5
QEM40853.1@MK359990$CHAP:343-433,AUC91164.1@GCA_002831545.1,CHAP,catalytic,17.34,11
QFG05610.1@MN176225$LysM:282-326,NP_389128.1@GCF_000009045.1,LysM,cell wall binding,50.35,182
QFG05701.1@MN176226$LysM:279-323,NP_388823.2@GCF_000009045.1,LysM,cell wall binding,48.39,183
QGF20128.1@MN417334$SH3_3:356-410,WP_011590270.1@GCF_000013285.1,SH3_3,cell wall binding,31.68,12
QGH75572.1@MN444868$PG_binding_1:376-436,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,33.63,13
QGJ85567.1@MN270261$CHAP:343-433,AUC91164.1@GCA_002831545.1,CHAP,catalytic,17.15,11
QGJ86555.1@MN270277$CHAP:343-433,AUC91164.1@GCA_002831545.1,CHAP,catalytic,17.34,11
QGJ92181.1@MN586016$PG_binding_1:159-219,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,24.12,1438
QGJ93901.1@MN586030$PG_binding_1:171-230,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,24.59,816
QGJ96337.1@MN586052$PG_binding_1:188-247,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,24.59,816
QHB48427.1@MN727882$Amidase_3:4-187,WP_044732684.1@GCF_000948285.1,Amidase_3,catalytic,14.63,1414
QHJ73661.1@MN882551$Glyco_hydro_25:4-180,WP_081373878.1@GCF_900129945.1,Glyco_hydro_25,catalytic,23.08,168
QHJ73726.1@MN882552$Glyco_hydro_25:4-180,WP_081373878.1@GCF_900129945.1,Glyco_hydro_25,catalytic,23.2,165
QHJ74697.1@MN830252$LysM:257-301,WP_035430847.1@GCF_013394085.1,LysM,cell wall binding,49.77,280
QHJ74697.1@MN830252$LysM:324-368,WP_035430847.1@GCF_013394085.1,LysM,cell wall binding,50.75,124
QHJ74697.1@MN830252$LysM:375-417,WP_035430847.1@GCF_013394085.1,LysM,cell wall binding,37.59,616
QHJ74769.1@MN830253$LysM:226-270,WP_035430847.1@GCF_013394085.1,LysM,cell wall binding,41.67,556
QHJ74769.1@MN830253$LysM:278-322,WP_035430847.1@GCF_013394085.1,LysM,cell wall binding,50.79,116
QHJ74769.1@MN830253$LysM:331-374,WP_035430847.1@GCF_013394085.1,LysM,cell wall binding,46.38,574
QIQ66138.1@MT119359$Amidase_2:42-177,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,34.16,4
QIQ66138.1@MT119359$SH3_5:285-351,WP_010816176.1@GCF_000392875.1,SH3_5,cell wall binding,53.72,1
QIQ68022.1@MT136606$Amidase_2:18-141,WP_015945848.1@GCF_000021305.1,Amidase_2,catalytic,25.6,116
QJD51197.1@MT310868$PG_binding_1:376-436,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,33.63,13
QJD54239.1@MT316460$PG_binding_1:376-436,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,33.79,13
QJS52933.1@MT361972$Glyco_hydro_108:6-90,WP_001984959.1@GCF_009759685.1,Glyco_hydro_108,catalytic,81.58,2
QJS52933.1@MT361972$PG_binding_3:93-179,WP_001019739.1@GCF_009759685.1,PG_binding_3,cell wall binding,93.17,1
QJT70680.1@MT366568$CHAP:19-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,18.86,6
QKN84149.1@MT349887$Glyco_hydro_108:6-90,WP_001984959.1@GCF_009759685.1,Glyco_hydro_108,catalytic,93.03,2
QKN84149.1@MT349887$PG_binding_3:93-179,WP_001019739.1@GCF_009759685.1,PG_binding_3,cell wall binding,88.64,4
QKN88223.1@MT422786$Amidase_3:3-181,WP_003211781.1@GCF_900186955.1,Amidase_3,catalytic,34.9,223
QKN88223.1@MT422786$LysM:208-251,WP_065098947.1@GCF_900186955.1,LysM,cell wall binding,42.5,650
QKN88223.1@MT422786$LysM:256-299,WP_003215781.1@GCF_900186955.1,LysM,cell wall binding,36.99,2296
QLF85392.1@MT520979$Amidase_2:41-176,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,35.24,4
QLF85392.1@MT520979$SH3_5:284-350,WP_010816176.1@GCF_000392875.1,SH3_5,cell wall binding,51.7,1
QMS41902.1@MT514532$Amidase_3:3-181,WP_003211781.1@GCF_900186955.1,Amidase_3,catalytic,35.57,134
QMS41902.1@MT514532$LysM:208-251,WP_065098947.1@GCF_900186955.1,LysM,cell wall binding,43.51,742
QMS41902.1@MT514532$LysM:256-299,WP_003215781.1@GCF_900186955.1,LysM,cell wall binding,39.86,1527
QMV48409.1@MT601270$PG_binding_1:183-240,NP_389128.1@GCF_000009045.1,PG_binding_1,cell wall binding,30.35,1640
QMV48409.1@MT601270$PG_binding_1:267-341,NP_389128.1@GCF_000009045.1,PG_binding_1,cell wall binding,47.63,9
QMV48633.1@MT601271$PG_binding_1:183-240,NP_389128.1@GCF_000009045.1,PG_binding_1,cell wall binding,30.35,1640
QMV48633.1@MT601271$PG_binding_1:267-341,NP_389128.1@GCF_000009045.1,PG_binding_1,cell wall binding,48.31,8
QNJ59785.1@MT776813$PG_binding_1:372-432,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,33.63,13
QNL31280.1@MT661597$Amidase_2:41-176,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,33.8,5
QNL31348.1@MT661598$Amidase_2:41-176,WP_010816176.1@GCF_000392875.1,Amidase_2,catalytic,34.44,4
QNR52591.1@MT747435$Glyco_hydro_25:28-227,WP_002389028.1@GCF_000392875.1,Glyco_hydro_25,catalytic,77.77,1
QNR52591.1@MT747435$LysM:339-383,WP_002389028.1@GCF_000392875.1,LysM,cell wall binding,87.16,1
QNR52591.1@MT747435$LysM:390-432,WP_002389028.1@GCF_000392875.1,LysM,cell wall binding,68.82,4
QOC58851.1@MT818422$PG_binding_1:378-434,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,41.0,1
QOI58175.1@MT857001$Amidase_2:41-176,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,34.59,4
QPI17129.1@MW218148$CHAP:18-110,WP_103269416.1@GCF_002902755.1,CHAP,catalytic,16.44,22
QPI17129.1@MW218148$SH3_5:194-260,WP_103269416.1@GCF_002902755.1,SH3_5,cell wall binding,27.83,1
QPI17130.1@MW218148$Amidase_2:28-165,WP_219728816.1@GCF_002902755.1,Amidase_2,catalytic,9.34,112
QPI17130.1@MW218148$SH3_5:234-300,WP_103269416.1@GCF_002902755.1,SH3_5,cell wall binding,30.73,2
QPN96383.1@MW238767$CHAP:19-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,41.73,4
QPX71670.1@MW001214$PG_binding_1:183-240,NP_389128.1@GCF_000009045.1,PG_binding_1,cell wall binding,29.07,2844
QPX71670.1@MW001214$PG_binding_1:267-341,NP_389128.1@GCF_000009045.1,PG_binding_1,cell wall binding,49.04,9
QQM14686.1@MW248466$CHAP:18-110,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,17.99,18
