assembly_accession,protein_id,hmm_accession,hmm_query,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,id
GCA_003663025.1,RLI86752.1,PF00877.22,NLPC_P60,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus_B,Archaeoglobus_B sp003663025,RLI86752.1@GCA_003663025.1
GCA_003663025.1,RLI88024.1,PF01464.23,SLT,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus_B,Archaeoglobus_B sp003663025,RLI88024.1@GCA_003663025.1
GCA_003663045.1,RLI85319.1,PF01425.24,Amidase,Archaea,Altiarchaeota,Altiarchaeia,IMC4,QMZM01,QMZG01,QMZG01 sp003663045,RLI85319.1@GCA_003663045.1
GCA_003663055.1,RLI85549.1,PF01425.24,Amidase,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus_C,Archaeoglobus_C sp003663055,RLI85549.1@GCA_003663055.1
GCA_003663175.1,RLI93512.1,PF01425.24,Amidase,Archaea,Altiarchaeota,Altiarchaeia,IMC4,QMZM01,QMZM01,QMZM01 sp003663175,RLI93512.1@GCA_003663175.1
GCA_003663225.1,RLI96283.1,PF01425.24,Amidase,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,QMZP01,QMZP01 sp003663225,RLI96283.1@GCA_003663225.1
GCA_003663225.1,RLI97484.1,PF05342.17,Peptidase_M26_N,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,QMZP01,QMZP01 sp003663225,RLI97484.1@GCA_003663225.1
GCA_003663225.1,RLI98013.1,PF01425.24,Amidase,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,QMZP01,QMZP01 sp003663225,RLI98013.1@GCA_003663225.1
GCA_003663225.1,RLI98038.1,PF01427.20,Peptidase_M15,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,QMZP01,QMZP01 sp003663225,RLI98038.1@GCA_003663225.1
GCA_003663225.1,RLI98210.1,PF13539.9,Peptidase_M15_4,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,QMZP01,QMZP01 sp003663225,RLI98210.1@GCA_003663225.1
GCA_003663295.1,RLJ00444.1,PF01425.24,Amidase,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZS01,QMZS01,QMZS01,QMZS01 sp003663295,RLJ00444.1@GCA_003663295.1
GCA_003663325.1,RLI99296.1,PF08291.14,Peptidase_M15_3,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZT01,QMZT01,QMZT01 sp003663325,RLI99296.1@GCA_003663325.1
GCA_003663325.1,RLJ00489.1,PF01551.25,Peptidase_M23,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZT01,QMZT01,QMZT01 sp003663325,RLJ00489.1@GCA_003663325.1
GCA_003663325.1,RLJ00491.1,PF01464.23,SLT,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZT01,QMZT01,QMZT01 sp003663325,RLJ00491.1@GCA_003663325.1
GCA_003663345.1,RLJ01352.1,PF01425.24,Amidase,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,PWEA01,B50-G16,B50-G16,B50-G16 sp003663345,RLJ01352.1@GCA_003663345.1
GCA_003663355.1,RLJ01929.1,PF01425.24,Amidase,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZS01,QMZS01,QMZS01,QMZS01 sp003663355,RLJ01929.1@GCA_003663355.1
GCA_003663415.1,RLJ07994.1,PF01464.23,SLT,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,QMZY01,QMZY01 sp003663415,RLJ07994.1@GCA_003663415.1
GCA_003663415.1,RLJ07996.1,PF01551.25,Peptidase_M23,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,QMZY01,QMZY01 sp003663415,RLJ07996.1@GCA_003663415.1
GCA_003663415.1,RLJ08002.1,PF01425.24,Amidase,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,QMZY01,QMZY01 sp003663415,RLJ08002.1@GCA_003663415.1
GCA_003663445.1,RLJ06597.1,PF01551.25,Peptidase_M23,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,QMZZ01,QMZZ01 sp003663445,RLJ06597.1@GCA_003663445.1
GCA_003663445.1,RLJ06933.1,PF01464.23,SLT,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,QMZZ01,QMZZ01 sp003663445,RLJ06933.1@GCA_003663445.1
GCA_003663445.1,RLJ06996.1,PF02557.20,VanY,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,QMZZ01,QMZZ01 sp003663445,RLJ06996.1@GCA_003663445.1
GCA_003663565.1,RLF65327.1,PF01510.28,Amidase_2,Archaea,Thermoplasmatota,B47-G6,B47-G6B,47-G6,B47-G6,B47-G6 sp003663565,RLF65327.1@GCA_003663565.1
GCA_003663565.1,RLF65847.1,PF00246.27,Peptidase_M14,Archaea,Thermoplasmatota,B47-G6,B47-G6B,47-G6,B47-G6,B47-G6 sp003663565,RLF65847.1@GCA_003663565.1
GCA_003665935.1,RLM49163.1,PF01464.23,SLT,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halobellus,Halobellus sp003665935,RLM49163.1@GCA_003665935.1
GCA_003665935.1,RLM50076.1,PF01464.23,SLT,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halobellus,Halobellus sp003665935,RLM50076.1@GCA_003665935.1
GCA_003665935.1,RLM51913.1,PF01464.23,SLT,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halobellus,Halobellus sp003665935,RLM51913.1@GCA_003665935.1
GCA_003665935.1,RLM52748.1,PF18027.4,Pepdidase_M14_N,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halobellus,Halobellus sp003665935,RLM52748.1@GCA_003665935.1
GCA_003665935.1,RLM52748.1,PF00246.27,Peptidase_M14,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halobellus,Halobellus sp003665935,RLM52748.1@GCA_003665935.1
GCA_003665935.1,RLM52890.1,PF00246.27,Peptidase_M14,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halobellus,Halobellus sp003665935,RLM52890.1@GCA_003665935.1
GCA_003665935.1,RLM59645.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halobellus,Halobellus sp003665935,RLM59645.1@GCA_003665935.1
GCA_003694055.1,RMD66467.1,PF01425.24,Amidase,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,J144,J144 sp003694055,RMD66467.1@GCA_003694055.1
GCA_003694055.1,RMD67680.1,PF01425.24,Amidase,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,J144,J144 sp003694055,RMD67680.1@GCA_003694055.1
GCA_003694385.1,RME31308.1,PF01464.23,SLT,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA525,UBA153,UBA153 sp003694385,RME31308.1@GCA_003694385.1
GCA_003694385.1,RME31309.1,PF01464.23,SLT,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA525,UBA153,UBA153 sp003694385,RME31309.1@GCA_003694385.1
GCA_003694385.1,RME31913.1,PF01551.25,Peptidase_M23,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA525,UBA153,UBA153 sp003694385,RME31913.1@GCA_003694385.1
GCA_003694385.1,RME31913.1,PF01464.23,SLT,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA525,UBA153,UBA153 sp003694385,RME31913.1@GCA_003694385.1
GCA_003694495.1,RME54777.1,PF01425.24,Amidase,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,GW2011-AR17,J104,J104 sp003694495,RME54777.1@GCA_003694495.1
GCA_003694525.1,RMD57406.1,PF01425.24,Amidase,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,ARS49,J152,J152 sp003694525,RMD57406.1@GCA_003694525.1
GCA_003694805.1,RME52450.1,PF01551.25,Peptidase_M23,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,J110,J110,J110 sp003694805,RME52450.1@GCA_003694805.1
GCA_003694805.1,RME52450.1,PF01464.23,SLT,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,J110,J110,J110 sp003694805,RME52450.1@GCA_003694805.1
GCA_003694805.1,RME52697.1,PF01464.23,SLT,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,J110,J110,J110 sp003694805,RME52697.1@GCA_003694805.1
GCA_003694805.1,RME52726.1,PF17676.4,Peptidase_S66C,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,J110,J110,J110 sp003694805,RME52726.1@GCA_003694805.1
GCA_003694965.1,RME79928.1,PF01425.24,Amidase,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,J096,J096,J096 sp003694965,RME79928.1@GCA_003694965.1
GCA_003694965.1,RME79976.1,PF01551.25,Peptidase_M23,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,J096,J096,J096 sp003694965,RME79976.1@GCA_003694965.1
GCA_003694965.1,RME80228.1,PF13406.9,SLT_2,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,J096,J096,J096 sp003694965,RME80228.1@GCA_003694965.1
GCA_003695045.1,RMF05284.1,PF01551.25,Peptidase_M23,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,J091,J091,J091 sp003695045,RMF05284.1@GCA_003695045.1
GCA_003695045.1,RMF06120.1,PF01464.23,SLT,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,J091,J091,J091 sp003695045,RMF06120.1@GCA_003695045.1
GCA_003695045.1,RMF07049.1,PF13406.9,SLT_2,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,J091,J091,J091 sp003695045,RMF07049.1@GCA_003695045.1
GCA_003695265.1,RMF54556.1,PF01551.25,Peptidase_M23,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,J072,J072,J072 sp003695265,RMF54556.1@GCA_003695265.1
GCA_003695435.1,RME77356.1,PF01425.24,Amidase,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA11576,J101,J101 sp003695435,RME77356.1@GCA_003695435.1
GCA_003695435.1,RME78553.1,PF01464.23,SLT,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA11576,J101,J101 sp003695435,RME78553.1@GCA_003695435.1
GCA_003695435.1,RME78666.1,PF01464.23,SLT,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA11576,J101,J101 sp003695435,RME78666.1@GCA_003695435.1
GCA_003695745.1,RMF89763.1,PF01425.24,Amidase,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,SZUA-236,J060,J060 sp003695745,RMF89763.1@GCA_003695745.1
GCA_003724275.1,RNJ74276.1,PF01425.24,Amidase,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Cenarchaeum,Cenarchaeum sp003724275,RNJ74276.1@GCA_003724275.1
GCA_003838065.1,RQD80266.1,PF01425.24,Amidase,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocalculus,Methanocalculus sp003838065,RQD80266.1@GCA_003838065.1
GCA_003942085.1,DAC71947.1,PF00246.27,Peptidase_M14,Archaea,Thermoplasmatota,E2,DHVEG-1,DHVEG-1,SM1-50,SM1-50 sp003942085,DAC71947.1@GCA_003942085.1
GCA_003942085.1,DAC72308.1,PF05708.15,Peptidase_C92,Archaea,Thermoplasmatota,E2,DHVEG-1,DHVEG-1,SM1-50,SM1-50 sp003942085,DAC72308.1@GCA_003942085.1
GCA_003942085.1,DAC72526.1,PF00246.27,Peptidase_M14,Archaea,Thermoplasmatota,E2,DHVEG-1,DHVEG-1,SM1-50,SM1-50 sp003942085,DAC72526.1@GCA_003942085.1
GCA_003942085.1,DAC72696.1,PF00246.27,Peptidase_M14,Archaea,Thermoplasmatota,E2,DHVEG-1,DHVEG-1,SM1-50,SM1-50 sp003942085,DAC72696.1@GCA_003942085.1
GCA_003942085.1,DAC72860.1,PF00246.27,Peptidase_M14,Archaea,Thermoplasmatota,E2,DHVEG-1,DHVEG-1,SM1-50,SM1-50 sp003942085,DAC72860.1@GCA_003942085.1
GCA_003942085.1,DAC73205.1,PF00246.27,Peptidase_M14,Archaea,Thermoplasmatota,E2,DHVEG-1,DHVEG-1,SM1-50,SM1-50 sp003942085,DAC73205.1@GCA_003942085.1
GCA_003978865.1,RUM35176.1,PF01425.24,Amidase,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus_C,Archaeoglobus_C sp003978865,RUM35176.1@GCA_003978865.1
GCA_004015825.1,ML137215.1_159,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halovenus,Halovenus sp004015825,ML137215.1_159@GCA_004015825.1
GCA_004015825.1,ML137217.1_12,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halovenus,Halovenus sp004015825,ML137217.1_12@GCA_004015825.1
GCA_004015825.1,SAYS01000005.1_198,PF02016.18,Peptidase_S66,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halovenus,Halovenus sp004015825,SAYS01000005.1_198@GCA_004015825.1
GCA_004015825.1,SAYS01000005.1_198,PF17676.4,Peptidase_S66C,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halovenus,Halovenus sp004015825,SAYS01000005.1_198@GCA_004015825.1
GCA_004015825.1,SAYS01000008.1_50,PF01551.25,Peptidase_M23,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halovenus,Halovenus sp004015825,SAYS01000008.1_50@GCA_004015825.1
GCA_004015825.1,SAYS01000019.1_47,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halovenus,Halovenus sp004015825,SAYS01000019.1_47@GCA_004015825.1
GCA_004015825.1,SAYS01000031.1_9,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halovenus,Halovenus sp004015825,SAYS01000031.1_9@GCA_004015825.1
GCA_004028775.1,RWX73872.1,PF01425.24,Amidase,Archaea,Thermoproteota,Methanomethylicia,Methanomethylicales,Methanomethylicaceae,Methanosuratincola,Methanosuratincola subterraneus,RWX73872.1@GCA_004028775.1
GCA_004193545.1,RZB28774.1,PF01425.24,Amidase,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,EX4572-44,Ethanoperedens,Ethanoperedens ethanivorans,RZB28774.1@GCA_004193545.1
GCA_004195515.1,RZD38214.1,PF00246.27,Peptidase_M14,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-K1,MGIIa-K1 sp004195515,RZD38214.1@GCA_004195515.1
GCA_004195515.1,RZD39051.1,PF00246.27,Peptidase_M14,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-K1,MGIIa-K1 sp004195515,RZD39051.1@GCA_004195515.1
GCA_004195515.1,RZD40153.1,PF00246.27,Peptidase_M14,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-K1,MGIIa-K1 sp004195515,RZD40153.1@GCA_004195515.1
GCA_004195515.1,RZD40271.1,PF01551.25,Peptidase_M23,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-K1,MGIIa-K1 sp004195515,RZD40271.1@GCA_004195515.1
GCA_004195515.1,RZD40751.1,PF00246.27,Peptidase_M14,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-K1,MGIIa-K1 sp004195515,RZD40751.1@GCA_004195515.1
GCA_004195615.1,RZD48885.1,PF01551.25,Peptidase_M23,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O3,MGIIb-O3 sp004195615,RZD48885.1@GCA_004195615.1
GCA_004195615.1,RZD49584.1,PF00246.27,Peptidase_M14,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O3,MGIIb-O3 sp004195615,RZD49584.1@GCA_004195615.1
GCA_004195615.1,RZD51695.1,PF00246.27,Peptidase_M14,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O3,MGIIb-O3 sp004195615,RZD51695.1@GCA_004195615.1
GCA_004195635.1,RZD43842.1,PF00246.27,Peptidase_M14,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,PSPT01,PSPT01 sp004195635,RZD43842.1@GCA_004195635.1
GCA_004195635.1,RZD43889.1,PF00246.27,Peptidase_M14,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,PSPT01,PSPT01 sp004195635,RZD43889.1@GCA_004195635.1
GCA_004195635.1,RZD44585.1,PF01551.25,Peptidase_M23,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,PSPT01,PSPT01 sp004195635,RZD44585.1@GCA_004195635.1
GCA_004195635.1,RZD45117.1,PF01425.24,Amidase,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,PSPT01,PSPT01 sp004195635,RZD45117.1@GCA_004195635.1
GCA_004195635.1,RZD45195.1,PF00246.27,Peptidase_M14,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,PSPT01,PSPT01 sp004195635,RZD45195.1@GCA_004195635.1
GCA_004195715.1,RZD49377.1,PF00246.27,Peptidase_M14,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,Thalassarchaeum,Thalassarchaeum sp004195715,RZD49377.1@GCA_004195715.1
GCA_004195715.1,RZD50586.1,PF01551.25,Peptidase_M23,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,Thalassarchaeum,Thalassarchaeum sp004195715,RZD50586.1@GCA_004195715.1
GCA_004195715.1,RZD50738.1,PF00246.27,Peptidase_M14,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,Thalassarchaeum,Thalassarchaeum sp004195715,RZD50738.1@GCA_004195715.1
GCA_004212075.1,RZN64554.1,PF05708.15,Peptidase_C92,Archaea,Halobacteriota,Methanoliparia,Methanoliparales,Methanoliparaceae,Methanoliparum,Methanoliparum thermophilum,RZN64554.1@GCA_004212075.1
GCA_004212075.1,RZN65531.1,PF01425.24,Amidase,Archaea,Halobacteriota,Methanoliparia,Methanoliparales,Methanoliparaceae,Methanoliparum,Methanoliparum thermophilum,RZN65531.1@GCA_004212075.1
GCA_004212085.1,RZN67827.1,PF05708.15,Peptidase_C92,Archaea,Halobacteriota,Methanoliparia,Methanoliparales,Methanoliparaceae,Methanolliviera,Methanolliviera hydrocarbonicum,RZN67827.1@GCA_004212085.1
GCA_004212085.1,RZN70390.1,PF05708.15,Peptidase_C92,Archaea,Halobacteriota,Methanoliparia,Methanoliparales,Methanoliparaceae,Methanolliviera,Methanolliviera hydrocarbonicum,RZN70390.1@GCA_004212085.1
GCA_004212085.1,RZN70392.1,PF05708.15,Peptidase_C92,Archaea,Halobacteriota,Methanoliparia,Methanoliparales,Methanoliparaceae,Methanolliviera,Methanolliviera hydrocarbonicum,RZN70392.1@GCA_004212085.1
GCA_004212085.1,RZN72007.1,PF01425.24,Amidase,Archaea,Halobacteriota,Methanoliparia,Methanoliparales,Methanoliparaceae,Methanolliviera,Methanolliviera hydrocarbonicum,RZN72007.1@GCA_004212085.1
GCA_004212095.1,RZN14827.1,PF01425.24,Amidase,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,EX4572-44,Ethanoperedens,Ethanoperedens sp004212095,RZN14827.1@GCA_004212095.1
GCA_004212135.1,RZN37118.1,PF01425.24,Amidase,Archaea,Halobacteriota,Syntropharchaeia,ANME-1,ANME-1,ANME-1-THS,ANME-1-THS sp004212135,RZN37118.1@GCA_004212135.1
GCA_004212155.1,RZN44950.1,PF01551.25,Peptidase_M23,Archaea,Methanobacteriota_B,Thermococci,Methanofastidiosales,NM3,NM3,NM3 sp004212155,RZN44950.1@GCA_004212155.1
GCA_004297575.1,TAL48398.1,PF01425.24,Amidase,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,SCSR01,SCSR01 sp004297575,TAL48398.1@GCA_004297575.1
GCA_004297665.1,TAK23806.1,PF01425.24,Amidase,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosarchaeum,Nitrosarchaeum sp004297665,TAK23806.1@GCA_004297665.1
GCA_004332335.1,SISS01000009.1_41,PF02113.18,Peptidase_S13,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanosphaerulaceae,UBA288,UBA288 sp004332335,SISS01000009.1_41@GCA_004332335.1
GCA_004332335.1,SISS01000014.1_66,PF01551.25,Peptidase_M23,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanosphaerulaceae,UBA288,UBA288 sp004332335,SISS01000014.1_66@GCA_004332335.1
GCA_004332335.1,SISS01000020.1_12,PF01425.24,Amidase,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanosphaerulaceae,UBA288,UBA288 sp004332335,SISS01000020.1_12@GCA_004332335.1
GCA_004347865.1,TDA25282.1,PF01425.24,Amidase,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,WYZ-LMO2,WYZ-LMO2 sp004347865,TDA25282.1@GCA_004347865.1
GCA_004347865.1,TDA29476.1,PF05708.15,Peptidase_C92,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,WYZ-LMO2,WYZ-LMO2 sp004347865,TDA29476.1@GCA_004347865.1
GCA_004347865.1,TDA30247.1,PF01425.24,Amidase,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,WYZ-LMO2,WYZ-LMO2 sp004347865,TDA30247.1@GCA_004347865.1
GCA_004347925.1,TDA31130.1,PF01425.24,Amidase,Archaea,Hadarchaeota,Hadarchaeia,Hadarchaeales,WYZ-LMO6,WYZ-LMO6,WYZ-LMO6 sp004347925,TDA31130.1@GCA_004347925.1
GCA_004347925.1,TDA33125.1,PF01425.24,Amidase,Archaea,Hadarchaeota,Hadarchaeia,Hadarchaeales,WYZ-LMO6,WYZ-LMO6,WYZ-LMO6 sp004347925,TDA33125.1@GCA_004347925.1
GCA_004347955.1,TDA39673.1,PF01425.24,Amidase,Archaea,Thermoproteota,Methanomethylicia,Methanomethylicales,Methanomethylicaceae,WYZ-LMO10,WYZ-LMO10 sp004347955,TDA39673.1@GCA_004347955.1
GCA_004347965.1,TDA33965.1,PF01425.24,Amidase,Archaea,Thermoproteota,Methanomethylicia,Nezhaarchaeales,WYZ-LMO8,WYZ-LMO8,WYZ-LMO8 sp004347965,TDA33965.1@GCA_004347965.1
GCA_004347965.1,TDA34673.1,PF01425.24,Amidase,Archaea,Thermoproteota,Methanomethylicia,Nezhaarchaeales,WYZ-LMO8,WYZ-LMO8,WYZ-LMO8 sp004347965,TDA34673.1@GCA_004347965.1
GCA_004348015.1,TDA37950.1,PF01425.24,Amidase,Archaea,Thermoproteota,Methanomethylicia,Methanomethylicales,Methanomethylicaceae,WYZ-LMO11,WYZ-LMO11 sp004348015,TDA37950.1@GCA_004348015.1
GCA_004375695.1,TES83538.1,PF01425.24,Amidase,Archaea,Hadarchaeota,Hadarchaeia,Hadarchaeales,Hadarchaeaceae,DG-33,DG-33 sp004375695,TES83538.1@GCA_004375695.1
GCA_004376265.1,TET11651.1,PF01551.25,Peptidase_M23,Archaea,Asgardarchaeota,Thorarchaeia,Thorarchaeales,Thorarchaeaceae,SMTZ1-45,SMTZ1-45 sp004376265,TET11651.1@GCA_004376265.1
GCA_004376265.1,TET11820.1,PF00246.27,Peptidase_M14,Archaea,Asgardarchaeota,Thorarchaeia,Thorarchaeales,Thorarchaeaceae,SMTZ1-45,SMTZ1-45 sp004376265,TET11820.1@GCA_004376265.1
GCA_004376265.1,TET12316.1,PF01551.25,Peptidase_M23,Archaea,Asgardarchaeota,Thorarchaeia,Thorarchaeales,Thorarchaeaceae,SMTZ1-45,SMTZ1-45 sp004376265,TET12316.1@GCA_004376265.1
GCA_004376385.1,TET27087.1,PF01551.25,Peptidase_M23,Archaea,Thermoproteota,Bathyarchaeia,B26-1,BA1,BIN-L-1,BIN-L-1 sp004376385,TET27087.1@GCA_004376385.1
GCA_004376975.1,TET64745.1,PF01551.25,Peptidase_M23,Archaea,Thermoproteota,Bathyarchaeia,B26-1,UBA233,SOJA01,SOJA01 sp004376975,TET64745.1@GCA_004376975.1
GCA_004377185.1,TET91050.1,PF00246.27,Peptidase_M14,Archaea,Thermoplasmatota,Thermoplasmata,RBG-16-68-12,SOIM01,SOIM01,SOIM01 sp004377185,TET91050.1@GCA_004377185.1
GCA_004524365.1,TFF99204.1,PF01425.24,Amidase,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,TEKIR-8,TEKIR-8 sp004524365,TFF99204.1@GCA_004524365.1
GCA_004524385.1,TFG01873.1,PF01425.24,Amidase,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,SDNM01,SDNM01 sp004524385,TFG01873.1@GCA_004524385.1
GCA_004524385.1,TFG02107.1,PF01425.24,Amidase,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,SDNM01,SDNM01 sp004524385,TFG02107.1@GCA_004524385.1
GCA_004524425.1,TFG04151.1,PF01425.24,Amidase,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,TEKIR-21,TEKIR-21 sp004524425,TFG04151.1@GCA_004524425.1
GCA_004524425.1,TFG06547.1,PF01551.25,Peptidase_M23,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,TEKIR-21,TEKIR-21 sp004524425,TFG06547.1@GCA_004524425.1
GCA_004524425.1,TFG06899.1,PF05708.15,Peptidase_C92,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,TEKIR-21,TEKIR-21 sp004524425,TFG06899.1@GCA_004524425.1
GCA_004524425.1,TFG09043.1,PF01425.24,Amidase,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,TEKIR-21,TEKIR-21 sp004524425,TFG09043.1@GCA_004524425.1
GCA_004524425.1,TFG09044.1,PF01425.24,Amidase,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,TEKIR-21,TEKIR-21 sp004524425,TFG09044.1@GCA_004524425.1
GCA_004524425.1,TFG09045.1,PF01425.24,Amidase,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,TEKIR-21,TEKIR-21 sp004524425,TFG09045.1@GCA_004524425.1
GCA_004524425.1,TFG09046.1,PF01425.24,Amidase,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,TEKIR-21,TEKIR-21 sp004524425,TFG09046.1@GCA_004524425.1
