LABELS
SEPARATOR COMMA
DATA
GCF_900110535.1,Halobacterium jilantaiense
GCA_021159465.1,G60ANME1 sp021159465
GCA_016207465.1,JACQPP01 sp016207465
GCA_013139985.1,QENH01 sp013139985
GCF_000739555.1,Halolamina rubra
GCF_009831455.1,Salinirussus salinus
GCF_024609245.1,Haloarchaeobius sp024609245
GCF_006861655.1,Halonotius roseus
GCA_003021785.1,Halosegnis sp003021785
GCF_013839515.1,Natronomonas sp013839515
GCF_004698125.1,Halosimplex halophilum
GCA_016927055.1,Methanothrix sp016927055
GCA_014859785.1,Methanoperedens_A sp014859785
GCA_023544495.1,QBUR01 sp023544495
GCF_000337335.1,Halorubrum distributum
GCF_006543045.1,Salinadaptatus halalkaliphilus
GCA_002498375.1,Methanocorpusculum sp002498375
GCF_020614375.1,Haladaptatus sp020614375
GCF_001989615.1,Halorientalis sp001989615
GCA_002498315.1,Methanofollis sp002498315
GCA_002011215.1,Archaeoglobus_A sp002011215
GCA_002508705.1,Methanoculleus sp002508705
GCA_023249105.1,Methanoperedens sp023249105
GCA_011049045.1,JACGMN01 sp011049045
GCA_002926195.1,Methanomarinus sp002926195
GCA_012910725.1,Ethanoperedens thermophilum
GCF_003342675.1,Haloplanus rubicundus
GCF_000223905.1,Haloarcula hispanica
GCF_000025505.1,Ferroglobus placidus
GCF_013415905.1,Halosimplex pelagicum
GCF_000691505.1,Halostagnicola sp000691505
GCF_003722075.1,Methanohalophilus sp003722075
GCF_000495475.1,Halobaculum tyrrellense
GCA_020216685.1,Methanospirillum hungatei_B
GCF_014212355.1,Halobellus ruber
GCA_003336485.1,QENH01 sp003336485
GCF_007421925.1,Haloglomus irregulare
GCA_017387505.1,Methanocorpusculum sp017387505
GCA_003551265.1,Halovenus sp003551265
GCF_000328685.1,Natronococcus occultus
GCA_002010215.1,JdFR-37 sp002010215
GCA_003559215.1,Natronococcus sp003559215
GCF_000591055.1,Natronomonas moolapensis
GCA_002499445.1,Methanosarcina sp002499445
GCA_016926505.1,JAFGOM01 sp016926505
GCA_002495225.1,UBA288 sp002495225
GCA_002067315.1,Methanocella_A sp002067315
GCA_012026835.1,Methanoperedens sp012026835
GCA_902386135.1,Methanoperedens sp902386135
GCA_009649835.1,Methanocomedens sp009649835
GCA_018687785.1,Methanogenium sp018687785
GCF_009831625.1,Halobaculum saliterrae
GCF_020618475.1,Haladaptatus sp020618475
GCA_002506085.1,Methanocorpusculum sp002506085
GCA_009789175.1,Salinibaculum litoreum
GCF_007655485.1,Halobellus captivus
GCF_000337515.1,Halovivax asiaticus
GCF_009176545.1,Salinigranum salinum
GCF_024298905.1,Natronomonas sp024298905
GCA_002506105.1,Methanolinea_A sp002506105
GCF_019599505.1,Halomicroarcula nitratireducens
GCF_001571385.1,Methanofollis ethanolicus
GCF_002156705.1,Natrarchaeobaculum aegyptiacum
GCF_000337175.1,Natrinema gari
GCA_905067535.1,Ethanoperedens ethanivorans_B
GCF_000025865.1,Methanohalophilus mahii
GCF_000337775.1,Haloarcula vallismortis
GCF_024138145.1,Tc-Br11 sp024138145
GCA_007119345.1,Halovivax sp007119345
GCA_002502785.1,Methanothrix_A harundinacea_A
GCA_002067095.1,Methanolinea_A sp002067095
GCF_900107195.1,Halobellus clavatus
GCF_000711905.1,Methermicoccus shengliensis
GCA_002509485.1,SD8 sp002509485
GCF_013839425.1,Halorhabdus salina
GCA_025057895.1,WYZ-LMO2 sp025057895
GCF_003058365.1,Halococcoides cellulosivorans
GCF_000011085.1,Haloarcula marismortui
GCF_900110215.1,Halorientalis persica
GCA_007129135.1,SKXI01 sp007129135
GCA_003298465.1,Haladaptatus sp003298465
GCA_003194445.1,Methanogaster sp003194445
GCF_008122205.1,Natronococcus pandeyae
GCA_009784005.1,Methanimicrococcus sp009784005
GCF_000455365.1,Halopiger_B djelfimassiliensis
GCF_024494595.1,Halobellus rarus
GCA_023436075.1,Methanocella_A sp023436075
GCF_024362525.1,Natronobiforma sp024362525
GCF_000337695.1,Natronococcus jeotgali
GCA_001563885.1,Natrarchaeobaculum sp001563885
GCF_021431925.1,Halobaculum sp021431925
GCF_001889405.1,Methanohalophilus halophilus
GCF_007833275.1,Salarchaeum sp007833275
GCF_000230955.2,Halobacterium sp000230955
GCA_013180565.1,QENH01 sp013180565
GCF_001282785.1,Halolamina sediminis
GCF_011734195.1,Halobacterium sp011734195
GCA_025041195.1,Halocatena sp025041195
GCA_003551945.1,Halovenus sp003551945
GCF_024218795.1,Halorussus sp024218795
GCA_014859735.1,ANME-1-THS sp014859735
GCA_004332335.1,UBA288 sp004332335
GCA_007122875.1,QS-1-68-20 sp007122875
GCA_007123105.1,SKNY01 sp007123105
GCF_000337555.1,Natrialba asiatica
GCF_003977755.1,Haloterrigena salifodinae
GCF_024494725.1,Haloplanus ruber
GCA_009618475.1,WJOV01 sp009618475
GCA_017553245.1,Methanomicrobium sp017553245
GCA_001412355.1,LKUD01 sp001412355
GCA_022561895.1,Halalkalicoccus sp022561895
GCA_015660915.1,Bog-38 sp015660915
GCA_023544605.1,QBUR01 sp023544605
GCF_000275865.1,Methanofollis liminatans
GCA_015523685.1,WAJW01 sp015523685
GCA_018432765.1,SD8 sp018432765
GCA_003565715.1,Methanolobus sp003565715
GCA_003194425.1,ANME1a sp003194425
GCA_018609935.1,JAHENH01 sp018609935
GCF_019263745.1,Methanospirillum sp012729995
GCA_002494625.1,Archaeoglobus_A sp002494625
GCF_000710615.1,Haladaptatus cibarius
GCA_023131215.1,JAGXOS01 sp023131215
GCF_023238205.1,Halorussus sp023238205
GCA_013329575.1,Methanoliparum sp8915u
